,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,corpus,split
21,3721,3726,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, make incidentedg return edg insert orderdf c fe f b b c fa abstractnetwork fix bug abstractnetworkhasedgeconnect caus throw either endpoint graphrelnotesfix bug abstractnetworkhasedgeconnect caus throw either endpoint graph origin report issu e f acaa b c c c e f e refactor abstractgraphtest allow test immutablegraphreason immutablegraph implement undertest compar mutablegraph implement current test didnt catch bug deliber introduc would nice abl share incid edg order testsnot design start make abstractgraphtest subclass mutabl graph would lead duplic subclass test issu direct undirect mutabl immut orthogon want test allowselfloopstru fals incidentedgeorderunord stabl propos solut somewhat unconvent least allow us share much code testsa db f f c bb b merg abstractxgraphtest configurablesimplexgraphtest thus remov layer abstractgraphtest treereason nobodi use abstract test class even though design general purpos graph even though arent use class add layer complex alreadi complex class tree go becom complex addit immutablegraph test stabl incid edg order testsc b bd fbd abe afd de eef make abstractgraphtest tree sane leaf node non abstract merg test without self loopsf ac e b c e b b bccd ff eb merg standardmutabledirectedgraphtest variant stabl orderthi prepar ad immut version need test stabl ordera ebd b df e e dfe ee add standardimmutabledirectedgraphtest cf b c aba e b f e e annot benign race abstractt avoid tsan issuesa c bcd c c c b f e great work improv graph test nymanjen look forward see merg great work improv graph test nymanjen look forward see merg in,-0.9214776222937594
22,3745,3748,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, refactor lambda replac method refer ab f dcb cd f e faa e,0.2992499697589119
25,3788,3796,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0, make abstractfutur compat forkjoinpool catch except properti retriev relnotesmad safe load abstractfutur class forkjoinpool thread secur manager b c f ae bdf f e da shut comput silenc,-0.20590282622250847
26,3800,3805,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0, simplifi redund collectionaddal call ae c e f cef f c abd f,-0.29554922341874196
27,3501,3830,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, doubl slice bytesourc fb b bc b bb c b af consent,-0.5383897517231135
29,3816,3831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, add unit test base url baseencod e c e efb dd cc f,0.18031342884381923
30,3418,3856,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, remov beta servic servicemanag leav abstractlisteningexecutorservic beta relev tweak jess initi leav abstractexecutionthreadservicetriggershutdown abstractservicedocancelstart beta sinc arent sure like lock behavior former weve realiz listenerstop might reason substitut relnot utilconcurr remov beta servic relat class b ed df eea eea,1.9308652840775875
31,3806,3856,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, remov beta servic servicemanag leav abstractlisteningexecutorservic beta relev tweak jess initi leav abstractexecutionthreadservicetriggershutdown abstractservicedocancelstart beta sinc arent sure like lock behavior former weve realiz listenerstop might reason substitut relnot utilconcurr remov beta servic relat class b ed df eea eea,-0.2211232363356278
33,3883,3885,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, move comment appropri locationth comment ad along putcoalesc cl f bb c bcbeb,-1.309232024696122
36,3891,3892,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, fix powersetequ compar anoth powerset whose item differ iter orderrelnot powersetequ powerset would erron return fals powerset under set equal differ iter order befd ced edc c eb f,0.5825414946231574
38,3878,3899,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, immutableintarray use arrayscopyof expand intern array bdb c e cda f dc implement lastindexof cartesianlist da dd e bc e e ac e e ce b f,-0.730531431485023
39,3911,3922,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, effici unmodifiablemultimap foreachforeach pass call direct deleg protectedcollect read oper fix df b beb c b e cb b add comparatorsmin maxrelnot collect ad element min max method comparatorsfc e e ccc bf dc discourag orderingmin e e max e e favor comparatorsmin e e compar max e e compar relnotesdiscourag use orderingmin e e max e e bf e f ade ed f,0.04525813644670629
40,3912,3922,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, effici unmodifiablemultimap foreachforeach pass call direct deleg protectedcollect read oper fix df b beb c b e cb b add comparatorsmin maxrelnot collect ad element min max method comparatorsfc e e ccc bf dc discourag orderingmin e e max e e favor comparatorsmin e e compar max e e compar relnotesdiscourag use orderingmin e e max e e bf e f ade ed f,0.2307113251992455
41,1315,3971,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, add awaitterminationuninterrupt fix somewhat relev relev sinc creat checkreturnvalu variant javautilconcurr method return fals indic timeoutrelnot utilconcurr ad awaitterminationuninterrupt ec b b ea bd c f ec c db,1.3282602160788166
42,3908,3971,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, add awaitterminationuninterrupt fix somewhat relev relev sinc creat checkreturnvalu variant javautilconcurr method return fals indic timeoutrelnot utilconcurr ad awaitterminationuninterrupt ec b b ea bd c f ec c db,1.4832464882010874
44,4018,4020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, make closingfutur avail open sourc guava beta relnot utilconcurr add closingfutur e dee f e f fix typo remov unnecessari word c b bde cd f af b e e bump checker qual unfortun reason involv intern legaci infrastructur easier merg least get us newest major version make easier see safe resolv conflict say use newer onea ee fa fcc edc f e c ddd b remov spurious annot fix travi buildf c c c dcd e ace f cla yes per,0.03367121403570262
48,4002,4030,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, fix unsupportedoperationexcept treerangesetsubrangeset add ce e f cabb c c dd aad deal classisinst check guarante fals fa f cb e f c b e b bf chang forwardingmapremov object paramet name object key match mapremov object key fix githubcom googl guava issu cbe e aec e f b bd f,-1.3103815691107257
49,4019,4030,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, fix unsupportedoperationexcept treerangesetsubrangeset add ce e f cabb c c dd aad deal classisinst check guarante fals fa f cb e f c b e b bf chang forwardingmapremov object paramet name object key match mapremov object key fix githubcom googl guava issu cbe e aec e f b bd f,1.2119266935544417
50,4036,5252,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0, intern chang classpath deb fa f e df intern chang classpathb e b f f b ed f e c fc remov unnecessari paren c ff f dad abef c c e da b print android test failur db b bd fa f ddda fix classpathtest android jdk e c da c fa ae dceb e ea set cla yes commit anoth author deriv direct author,-0.5390860314922175
51,3682,5268,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, clarifi hashmultimap doc concurrencyclos e b b b c ea bf df eb f remov refer useless workaroundfix fix da c cf eb e fe f ee commit deriv prs saucistoph mark cla sign,1.0822700657862625
52,5265,5268,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, clarifi hashmultimap doc concurrencyclos e b b b c ea bf df eb f remov refer useless workaroundfix fix da c cf eb e fe f ee commit deriv prs saucistoph mark cla sign,0.8501905665861098
53,5266,5268,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, clarifi hashmultimap doc concurrencyclos e b b b c ea bf df eb f remov refer useless workaroundfix fix da c cf eb e fe f ee commit deriv prs saucistoph mark cla sign,0.1271728183662793
54,5272,5275,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, clarifi use iteratortest use iteratortest intellij idea automat import abstractiteratortesterknownord abstractiteratortest privat obvious meant import iteratortesterknownord instead therefor commit updat thejavadoc give exampl use api proper c e b bc fda add bunch warn executionsequencerse discuss cl b dfb ebeff ac f ccfce eac,1.943424987851599
55,5276,5277,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, dont call tostr result success futuresrelnotesabstractfuturetostr longer includ tostr result df dfe db cabf b abfc fix exampl document iteratortest made mistak accident includ exampl notcompil specif import knownord compileinstead need import iteratortesterknownord see formor informationi chang exampl use collectionsunmodifiablelist rather arraylist arraylistiter satisfyal requir iteratorfeaturemodifi afdbd fc f f e bfcbad b c,-0.7654653867455101
56,5250,5278,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, clarifi intern prefer instead stringintern exist languag impli intend typesse document happen futurecallback throw except ac c c b fea c e f,1.1075403865654305
57,5281,5286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, prepar releas c ea b bc df fe f remov deprec arg servicemanageraddlistenerrelnot utilconcurr remov deprec arg servicemanageraddlisten listen use arg addlisten listen executor overload set executor directexecutor equival behaviord ebb caecea e e b updat iteratortest exampl greater step valuethi allow iteratortest check edg case iter exhaust next call repeat hasnext return fals call next iter exhibit behavior user chosen known good refer implement b b f c bce b ff cf,-0.7995671804653214
58,5298,5307,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0, refactor classpath replac scanner locat class c c c ac cfa feff f fix document hashcodetostr incorrect claim return big endian orderth implement tostr goe byte order asbyt return order under byte littl endian case longhashcod string littl endian contradict document say afbd f c bb de ece b b optim hashingcrc c elimin xor everi byte inputbenchmark suggest modest speedup around b bf cfef c ccebacef add constant origin isol headerspec constant origin isol headerf e f f c ed dfbb ffb remov outdat refer doc ac e b dfd b eef add addit test crc chashfunct f e e ca b ce ba e bd verifi maximumweight settingth maximumweight builder method method argument verif assignmentit look like typo affect anyon practic still better implement uniform f c dd c fe fb f ff b byte stride crc c cgchash result rough x speedup gb sthis probabl good get java well access intrins use crc hardwar avail e e c f b c fac rollback origin chang descript byte stride crc c cgchash result rough x speedup gb sthis probabl good get java well access intrins use crc hardwar avail db b bb b c ec fe bac backport combin java immutablelist immutableset java code reli java branch guava still effici collect guava collectionsa c c bfb ba ec e feeeff fix loadingcach minor document typofix fc acf c de e f ad submitasync closingfuturerelnotesad submitasync asyncclosingcal closingfutur db efb fc f b fe add x request id relnotesadd x request id fix android test failur classpathtestreproduc error verifi chang fix itc f ac f e ed ae c f set cla yes sinc commit differ author come direct prs author,1.5439445371424068
59,5306,5307,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0, refactor classpath replac scanner locat class c c c ac cfa feff f fix document hashcodetostr incorrect claim return big endian orderth implement tostr goe byte order asbyt return order under byte littl endian case longhashcod string littl endian contradict document say afbd f c bb de ece b b optim hashingcrc c elimin xor everi byte inputbenchmark suggest modest speedup around b bf cfef c ccebacef add constant origin isol headerspec constant origin isol headerf e f f c ed dfbb ffb remov outdat refer doc ac e b dfd b eef add addit test crc chashfunct f e e ca b ce ba e bd verifi maximumweight settingth maximumweight builder method method argument verif assignmentit look like typo affect anyon practic still better implement uniform f c dd c fe fb f ff b byte stride crc c cgchash result rough x speedup gb sthis probabl good get java well access intrins use crc hardwar avail e e c f b c fac rollback origin chang descript byte stride crc c cgchash result rough x speedup gb sthis probabl good get java well access intrins use crc hardwar avail db b bb b c ec fe bac backport combin java immutablelist immutableset java code reli java branch guava still effici collect guava collectionsa c c bfb ba ec e feeeff fix loadingcach minor document typofix fc acf c de e f ad submitasync closingfuturerelnotesad submitasync asyncclosingcal closingfutur db efb fc f b fe add x request id relnotesadd x request id fix android test failur classpathtestreproduc error verifi chang fix itc f ac f e ed ae c f set cla yes sinc commit differ author come direct prs author,-1.1935047704692372
60,3974,5415,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,remov redund els block remov redund els block relnotesn a,-1.3238028118565712
