prNumber,Util,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,IO,UI,Parser,Event.Handling,App,GIS,Multimedia,CG,corpus
465,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves #464  resolves #464
465,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves #464  resolves #464
603,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,if pull request #602 isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved  if pull request #602 isn t yet reviewed and accepted  please review and merge this smaller one first.  fix possible memory leaks and crashes when opening of sqlite database fails.  there are now exceptions thrown in some new places with messages for the user that might be improved.
603,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,if pull request #602 isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved  if pull request #602 isn t yet reviewed and accepted  please review and merge this smaller one first.  fix possible memory leaks and crashes when opening of sqlite database fails.  there are now exceptions thrown in some new places with messages for the user that might be improved.
603,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,if pull request #602 isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved  if pull request #602 isn t yet reviewed and accepted  please review and merge this smaller one first.  fix possible memory leaks and crashes when opening of sqlite database fails.  there are now exceptions thrown in some new places with messages for the user that might be improved.
700,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700 closes #699  this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700. closes #699 
700,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700 closes #699  this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700. closes #699 
700,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700 closes #699  this fixes cve-2020-11867 by setting the permissions for the user tmp folder to 700. closes #699 
986,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,resolves: #984fix uses the approach proposed by david bailes*(short description of the changes and the motivation to make the changes)*<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #984  fix uses the approach proposed by david bailes  *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
986,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #984fix uses the approach proposed by david bailes*(short description of the changes and the motivation to make the changes)*<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #984  fix uses the approach proposed by david bailes  *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
986,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #984fix uses the approach proposed by david bailes*(short description of the changes and the motivation to make the changes)*<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #984  fix uses the approach proposed by david bailes  *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1050,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves: #1048check for updates dialog will (very probably) not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader(there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now)[x]  i signed cla[x]  i made sure the code compiles on my machine[x]  i made sure there are no unnecessary changes in the code[x]  i made sure the title of the pr reflects the core meaning of the issue you are solving[x]  i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1048  check for updates dialog will (very probably) not unexpectedly interrupt recordings  possibly spoiling them if there is a screen reader.  (there is one slender timing possibility mentioned in code comments where it might yet happen. more thread synchronizations might fix that  but do not seem worth the extra effort now.)  [x]  i signed cla [x]  i made sure the code compiles on my machine [x]  i made sure there are no unnecessary changes in the code [x]  i made sure the title of the pr reflects the core meaning of the issue you are solving [x]  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1050,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,resolves: #1048check for updates dialog will (very probably) not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader(there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now)[x]  i signed cla[x]  i made sure the code compiles on my machine[x]  i made sure there are no unnecessary changes in the code[x]  i made sure the title of the pr reflects the core meaning of the issue you are solving[x]  i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1048  check for updates dialog will (very probably) not unexpectedly interrupt recordings  possibly spoiling them if there is a screen reader.  (there is one slender timing possibility mentioned in code comments where it might yet happen. more thread synchronizations might fix that  but do not seem worth the extra effort now.)  [x]  i signed cla [x]  i made sure the code compiles on my machine [x]  i made sure there are no unnecessary changes in the code [x]  i made sure the title of the pr reflects the core meaning of the issue you are solving [x]  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1050,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,resolves: #1048check for updates dialog will (very probably) not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader(there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now)[x]  i signed cla[x]  i made sure the code compiles on my machine[x]  i made sure there are no unnecessary changes in the code[x]  i made sure the title of the pr reflects the core meaning of the issue you are solving[x]  i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1048  check for updates dialog will (very probably) not unexpectedly interrupt recordings  possibly spoiling them if there is a screen reader.  (there is one slender timing possibility mentioned in code comments where it might yet happen. more thread synchronizations might fix that  but do not seem worth the extra effort now.)  [x]  i signed cla [x]  i made sure the code compiles on my machine [x]  i made sure there are no unnecessary changes in the code [x]  i made sure the title of the pr reflects the core meaning of the issue you are solving [x]  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1167,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves: #1164check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes  but that was not enough  it should also not interrupt the timer recording wait dialog  this commit fixes that too  i have tested it with amodified build making more frequent checks- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1164  check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes.  but that was not enough.  it should also not interrupt the timer recording wait dialog.  this commit fixes that too.  i have tested it with a modified build making more frequent checks.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1167,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,resolves: #1164check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes  but that was not enough  it should also not interrupt the timer recording wait dialog  this commit fixes that too  i have tested it with amodified build making more frequent checks- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1164  check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes.  but that was not enough.  it should also not interrupt the timer recording wait dialog.  this commit fixes that too.  i have tested it with a modified build making more frequent checks.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1167,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1164check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes  but that was not enough  it should also not interrupt the timer recording wait dialog  this commit fixes that too  i have tested it with amodified build making more frequent checks- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1164  check for updates has been fixed so that its modal dialog will wait until any recording-in-progress finishes.  but that was not enough.  it should also not interrupt the timer recording wait dialog.  this commit fixes that too.  i have tested it with a modified build making more frequent checks.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1192,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,resolves: #1191  these can happen in only two ways using the application: from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig::deleteall() proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1191   ... these can happen in only two ways  using the application: from the tools menu  or using the windows intaller program.  a review of all uses of wxfileconfig::deleteall() proves this.  the one special boolsetting object was moved from updatemanager to prefs.cpp to avoid a dependency cycle among source code files.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1192,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,resolves: #1191  these can happen in only two ways using the application: from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig::deleteall() proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1191   ... these can happen in only two ways  using the application: from the tools menu  or using the windows intaller program.  a review of all uses of wxfileconfig::deleteall() proves this.  the one special boolsetting object was moved from updatemanager to prefs.cpp to avoid a dependency cycle among source code files.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1192,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1191  these can happen in only two ways using the application: from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig::deleteall() proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1191   ... these can happen in only two ways  using the application: from the tools menu  or using the windows intaller program.  a review of all uses of wxfileconfig::deleteall() proves this.  the one special boolsetting object was moved from updatemanager to prefs.cpp to avoid a dependency cycle among source code files.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1204,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1200 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1200   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1204,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,resolves: #1200 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1200   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1204,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1200 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1200   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1207,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1181resolves: #1251 * adds affordances to a wave clips note track item labels * contains requested fixes and improvements (link above)- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1181 resolves: #1251   * adds affordances to a wave clips  note track item  labels  * contains requested fixes and improvements (link above)  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
