prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
287,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fabio opened Joe commented Fabio commented Joe closed. Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208
330,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fabio opened Hanish commented Fabio commented Fabio closed. ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.)
330,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Fabio opened Hanish commented Fabio commented Fabio closed. ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.)
330,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fabio opened Hanish commented Fabio commented Fabio closed. ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.)
370,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed.This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think?
370,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed. This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think?
370,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed.This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think?
418,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed.This pull request enables support for proxy authentication via command line arguments (`-D..`) and JabRef preferences (Network tab).
418,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed.This pull request enables support for proxy authentication via command line arguments (`-D..`) and JabRef preferences (Network tab).
418,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fabio opened Hanish commented Joe commented Fabio commented Fabio closed.This pull request enables support for proxy authentication via command line arguments (`-D..`) and JabRef preferences (Network tab).
429,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Jacob opened Joe commented Hanish commented Jacob commented Jacob closed. A similar bug as #420 happened when the encoding was changed in the database properties dialog. This is now fixed in this PR.   Sorry for introducing these bugs in the first place.
429,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Jacob opened Joe commented Hanish commented Jacob commented Jacob closed.A similar bug as #420 happened when the encoding was changed in the database properties dialog. This is now fixed in this PR.   Sorry for introducing these bugs in the first place.
429,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Jacob opened Joe commented Hanish commented Jacob commented Jacob closed.A similar bug as #420 happened when the encoding was changed in the database properties dialog. This is now fixed in this PR.   Sorry for introducing these bugs in the first place.
440,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Fabio opened Joe commented Hanish commented Fabio commented Joe commented Joe closed. Instead of #427 (easier to start all over as some files were already moved).
440,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Fabio opened Joe commented Hanish commented Fabio commented Joe commented Joe closed. Instead of #427 (easier to start all over as some files were already moved).
440,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fabio opened Joe commented Hanish commented Fabio commented Joe commented Joe closed. Instead of #427 (easier to start all over as some files were already moved).
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jacob opened Hanish commented Jacob commented Jacob commented Hanish commented Hanish closed. Complete check and rewrite of MainTable and related classes  This will fix and implement: - [x] #315  - [x] #384 - show tooltip for header columns - [x] #384 - show tooltip for contents which are too long for table columns - [x] #443  - [x] #445  - [x] Add ability to drag and drop specialfield columns - ~~[ ] Allow storing position of specialfield columns~~ postponed to another PR - [x] remove table column for "PDF/PS" which is obsolete (fixes #498) - [x] remove option "Show one letter heading for icon columns" which is now obsolete - [x] Changed default order in main table: # | all file based icons (file  URL/DOI  ...) | all bibtex field based icons (bibtexkey  entrytype  author  title  ...) | all special field icons - ~~[ ] #490~~ postponed - ~~[ ] Think about "must be implemented "vernünftig (matthias)" "Entry table -> fit table horizontally ...."" from the minutes~~ postponed - [x] final cleanup + CHANGELOG
452,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Jacob opened Hanish commented Jacob commented Jacob commented Hanish commented Hanish closed. Complete check and rewrite of MainTable and related classes  This will fix and implement: - [x] #315  - [x] #384 - show tooltip for header columns - [x] #384 - show tooltip for contents which are too long for table columns - [x] #443  - [x] #445  - [x] Add ability to drag and drop specialfield columns - ~~[ ] Allow storing position of specialfield columns~~ postponed to another PR - [x] remove table column for "PDF/PS" which is obsolete (fixes #498) - [x] remove option "Show one letter heading for icon columns" which is now obsolete - [x] Changed default order in main table: # | all file based icons (file  URL/DOI  ...) | all bibtex field based icons (bibtexkey  entrytype  author  title  ...) | all special field icons - ~~[ ] #490~~ postponed - ~~[ ] Think about "must be implemented "vernünftig (matthias)" "Entry table -> fit table horizontally ...."" from the minutes~~ postponed - [x] final cleanup + CHANGELOG
452,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Jacob opened Hanish commented Jacob commented Jacob commented Hanish commented Hanish closed. Complete check and rewrite of MainTable and related classes  This will fix and implement: - [x] #315  - [x] #384 - show tooltip for header columns - [x] #384 - show tooltip for contents which are too long for table columns - [x] #443  - [x] #445  - [x] Add ability to drag and drop specialfield columns - ~~[ ] Allow storing position of specialfield columns~~ postponed to another PR - [x] remove table column for "PDF/PS" which is obsolete (fixes #498) - [x] remove option "Show one letter heading for icon columns" which is now obsolete - [x] Changed default order in main table: # | all file based icons (file  URL/DOI  ...) | all bibtex field based icons (bibtexkey  entrytype  author  title  ...) | all special field icons - ~~[ ] #490~~ postponed - ~~[ ] Think about "must be implemented "vernünftig (matthias)" "Entry table -> fit table horizontally ...."" from the minutes~~ postponed - [x] final cleanup + CHANGELOG
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jacob opened Hanish commented Jacob commented Jacob commented Hanish commented Hanish closed. Complete check and rewrite of MainTable and related classes  This will fix and implement: - [x] #315  - [x] #384 - show tooltip for header columns - [x] #384 - show tooltip for contents which are too long for table columns - [x] #443  - [x] #445  - [x] Add ability to drag and drop specialfield columns - ~~[ ] Allow storing position of specialfield columns~~ postponed to another PR - [x] remove table column for "PDF/PS" which is obsolete (fixes #498) - [x] remove option "Show one letter heading for icon columns" which is now obsolete - [x] Changed default order in main table: # | all file based icons (file  URL/DOI  ...) | all bibtex field based icons (bibtexkey  entrytype  author  title  ...) | all special field icons - ~~[ ] #490~~ postponed - ~~[ ] Think about "must be implemented "vernünftig (matthias)" "Entry table -> fit table horizontally ...."" from the minutes~~ postponed - [x] final cleanup + CHANGELOG
