prNumber,Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
jabref50-915,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? implements #455 and/or  -  ? -   -  ? - only ui change -  ?
jabref50-915,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? implements #455 and/or  -  ? -   -  ? - only ui change -  ?
jabref50-925,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? this solves #707 and prepares the way to refactor the metadata class.  i added a few methods to the metadata class to make testing more convenient. many calls to getdata() in fact can be replaced by these new methods. i think this is something for a new pr.  one question: to write the tests in a nice way i had to overwrite a few equals methods. in particular for the lowercasechanger. should i also override equals for all other formatters?
jabref50-925,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? this solves #707 and prepares the way to refactor the metadata class.  i added a few methods to the metadata class to make testing more convenient. many calls to getdata() in fact can be replaced by these new methods. i think this is something for a new pr.  one question: to write the tests in a nice way i had to overwrite a few equals methods. in particular for the lowercasechanger. should i also override equals for all other formatters?
jabref50-925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? this solves #707 and prepares the way to refactor the metadata class.  i added a few methods to the metadata class to make testing more convenient. many calls to getdata() in fact can be replaced by these new methods. i think this is something for a new pr.  one question: to write the tests in a nice way i had to overwrite a few equals methods. in particular for the lowercasechanger. should i also override equals for all other formatters?
jabref50-937,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? 936. when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore. -  ? -   -  ? -  ?
jabref50-937,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? 936. when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore. -  ? -   -  ? -  ?
jabref50-937,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? 936. when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore. -  ? -   -  ? -  ?
jabref50-1014,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? never catch an exception removed unnecessary exceptions throw specific exceptions  never only exception ref #1012  -   -  ? -  ?
jabref50-1014,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? never catch an exception removed unnecessary exceptions throw specific exceptions  never only exception ref #1012  -   -  ? -  ?
jabref50-1014,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? never catch an exception removed unnecessary exceptions throw specific exceptions  never only exception ref #1012  -   -  ? -  ?
jabref50-1041,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation this finally 963. a quick fix has been introduced in 661eea007e555  but that does not cover the lower case writing of the type.      @comment{jabref-meta: database_type:bibtex }      finally gets      @comment{jabref-meta: databasetype:bibtex }     -   -> this has been introduced in the development versions after the last release  thus no entry required -   -> tests have been adapted to match this new implementation
jabref50-1041,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation this finally 963. a quick fix has been introduced in 661eea007e555  but that does not cover the lower case writing of the type.      @comment{jabref-meta: database_type:bibtex }      finally gets      @comment{jabref-meta: databasetype:bibtex }     -   -> this has been introduced in the development versions after the last release  thus no entry required -   -> tests have been adapted to match this new implementation
jabref50-1041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation this finally 963. a quick fix has been introduced in 661eea007e555  but that does not cover the lower case writing of the type.      @comment{jabref-meta: database_type:bibtex }      finally gets      @comment{jabref-meta: databasetype:bibtex }     -   -> this has been introduced in the development versions after the last release  thus no entry required -   -> tests have been adapted to match this new implementation
jabref50-1056,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) fixes npe in export to external db add db type to export succesful message reformatting #1055  no changelog because i think it was new introduced by the redesign of the entry sorting (passing null)
jabref50-1056,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) fixes npe in export to external db add db type to export succesful message reformatting #1055  no changelog because i think it was new introduced by the redesign of the entry sorting (passing null)
jabref50-1056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) fixes npe in export to external db add db type to export succesful message reformatting #1055  no changelog because i think it was new introduced by the redesign of the entry sorting (passing null)
jabref50-1168,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 we have some very strange logic in jabref which allows to handle years using only the two last numbers  so we can detect that 68 means 1968. this causes a lot of issues. i do not think that jabref should still support such strange logic  and just use the value which is in the year field.   hence  i removed it.   this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class.   refs #1163
jabref50-1168,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 we have some very strange logic in jabref which allows to handle years using only the two last numbers  so we can detect that 68 means 1968. this causes a lot of issues. i do not think that jabref should still support such strange logic  and just use the value which is in the year field.   hence  i removed it.   this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class.   refs #1163
jabref50-1168,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 we have some very strange logic in jabref which allows to handle years using only the two last numbers  so we can detect that 68 means 1968. this causes a lot of issues. i do not think that jabref should still support such strange logic  and just use the value which is in the year field.   hence  i removed it.   this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class.   refs #1163
jabref50-1192,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation when i fixed #936 some time ago (pr: #937) i made a tiny error.  the issue was to hide the preview panel when deleting/cutting an entry  but it also hid it when aborting the delete-confirmation-dialog. i too refactored both actions a little to make it easier for future changes.  i also removed in  undoableremoveentry  and  undoableinsertentry  the id generation.
jabref50-1192,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation when i fixed #936 some time ago (pr: #937) i made a tiny error.  the issue was to hide the preview panel when deleting/cutting an entry  but it also hid it when aborting the delete-confirmation-dialog. i too refactored both actions a little to make it easier for future changes.  i also removed in  undoableremoveentry  and  undoableinsertentry  the id generation.
jabref50-1192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation when i fixed #936 some time ago (pr: #937) i made a tiny error.  the issue was to hide the preview panel when deleting/cutting an entry  but it also hid it when aborting the delete-confirmation-dialog. i too refactored both actions a little to make it easier for future changes.  i also removed in  undoableremoveentry  and  undoableinsertentry  the id generation.
jabref50-1229,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,see #1091 see #1091
jabref50-1229,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,see #1091 see #1091
jabref50-1229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,see #1091 see #1091
jabref50-1298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) added option to copy version information of jabref in the about dialog as described in #871 . this will help with filing issues and bug reports as the version of jabref  os and java will be copied.  -   -   -   ()  ![screen shot 2016-04-25 at 22 38 58](https://cloud.ent.com/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cd.png)
jabref50-1298,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) added option to copy version information of jabref in the about dialog as described in #871 . this will help with filing issues and bug reports as the version of jabref  os and java will be copied.  -   -   -   ()  ![screen shot 2016-04-25 at 22 38 58](https://cloud.ent.com/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cd.png)
jabref50-1298,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) added option to copy version information of jabref in the about dialog as described in #871 . this will help with filing issues and bug reports as the version of jabref  os and java will be copied.  -   -   -   ()  ![screen shot 2016-04-25 at 22 38 58](https://cloud.ent.com/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cd.png)
jabref50-1318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,corrected gradlew task name#1312@koppor  @stefan-kolb corrected gradlew task name #1312  @koppor  @stefan-kolb
jabref50-1318,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,corrected gradlew task name#1312@koppor  @stefan-kolb corrected gradlew task name #1312  @koppor  @stefan-kolb
jabref50-1318,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,corrected gradlew task name#1312@koppor  @stefan-kolb corrected gradlew task name #1312  @koppor  @stefan-kolb
jabref50-1388,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog the logic is fucked but this should fix the issue.  problem was that when sort in original order was selected  the corresponding variable newsortorder would still read the disabled sort order inside the jdialog.
jabref50-1388,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog the logic is fucked but this should fix the issue.  problem was that when sort in original order was selected  the corresponding variable newsortorder would still read the disabled sort order inside the jdialog.
jabref50-1388,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog the logic is fucked but this should fix the issue.  problem was that when sort in original order was selected  the corresponding variable newsortorder would still read the disabled sort order inside the jdialog.
jabref50-1397,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   regarding: 1063]( the medlineplain importer doesn t have all fields  that the nbib format has. so i added the fields to the medlineplain format and added a test+ testfile for the nbib format. a list of the elements that should be imported now  can be found [here]( -  
jabref50-1397,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   regarding: 1063]( the medlineplain importer doesn t have all fields  that the nbib format has. so i added the fields to the medlineplain format and added a test+ testfile for the nbib format. a list of the elements that should be imported now  can be found [here]( -  
jabref50-1397,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   regarding: 1063]( the medlineplain importer doesn t have all fields  that the nbib format has. so i added the fields to the medlineplain format and added a test+ testfile for the nbib format. a list of the elements that should be imported now  can be found [here]( -  
jabref50-1429,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,<describe the changes you have made here:  >-  change in changelogmd described-  -   () <describe the changes you have made here:   > -   -   -   ()
jabref50-1429,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,<describe the changes you have made here:  >-  change in changelogmd described-  -   () <describe the changes you have made here:   > -   -   -   ()
jabref50-1429,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,<describe the changes you have made here:  >-  change in changelogmd described-  -   () <describe the changes you have made here:   > -   -   -   ()
jabref50-1440,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) (https://cloud.ent.com/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5.png)
jabref50-1440,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) (https://cloud.ent.com/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5.png)
jabref50-1440,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) (https://cloud.ent.com/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5.png)
jabref50-1443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,651-  change in changelogmd described-  -   () 651. -   -   -   ()
jabref50-1443,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,651-  change in changelogmd described-  -   () 651. -   -   -   ()
jabref50-1443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,651-  change in changelogmd described-  -   () 651. -   -   -   ()
jabref50-1453,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   () according to the following conventions: - all objects which can be read from a string have  public static type parse(stringy input)  method. - all objects which can be written to a string have a  public stringy getasstring()  method.  should 888. ##  -   -   -   ()
jabref50-1453,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   () according to the following conventions: - all objects which can be read from a string have  public static type parse(stringy input)  method. - all objects which can be written to a string have a  public stringy getasstring()  method.  should 888. ##  -   -   -   ()
jabref50-1453,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   () according to the following conventions: - all objects which can be read from a string have  public static type parse(stringy input)  method. - all objects which can be written to a string have a  public stringy getasstring()  method.  should 888. ##  -   -   -   ()
jabref50-1487,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,implement getextension and getdescription for importers #1444 -  change in changelogmd described-   implement getextension and getdescription for importers. #1444  -   -  
jabref50-1487,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,implement getextension and getdescription for importers #1444 -  change in changelogmd described-   implement getextension and getdescription for importers. #1444  -   -  
jabref50-1487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,implement getextension and getdescription for importers #1444 -  change in changelogmd described-   implement getextension and getdescription for importers. #1444  -   -  
jabref50-1584,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,added a configurable layout formatter for dates 1249-  change in changelogmd described-   added a configurable layout formatter for dates. 1249. -   -  
jabref50-1584,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,added a configurable layout formatter for dates 1249-  change in changelogmd described-   added a configurable layout formatter for dates. 1249. -   -  
jabref50-1584,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,added a configurable layout formatter for dates 1249-  change in changelogmd described-   added a configurable layout formatter for dates. 1249. -   -  
jabref50-1599,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,this should 1592-  change in changelogmd described this should 1592. -  
jabref50-1599,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,this should 1592-  change in changelogmd described this should 1592. -  
jabref50-1599,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,this should 1592-  change in changelogmd described this should 1592. -  
jabref50-1671,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-  open a new file and it is correctly focused afterwards-  open a file that was already opened before is correctly focused afterwards-  open a file two times and it is only opened once -  open a new file and it is correctly focused afterwards -  open a file that was already opened before is correctly focused afterwards -  open a file two times and it is only opened once
jabref50-1671,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-  open a new file and it is correctly focused afterwards-  open a file that was already opened before is correctly focused afterwards-  open a file two times and it is only opened once -  open a new file and it is correctly focused afterwards -  open a file that was already opened before is correctly focused afterwards -  open a file two times and it is only opened once
jabref50-1671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-  open a new file and it is correctly focused afterwards-  open a file that was already opened before is correctly focused afterwards-  open a file two times and it is only opened once -  open a new file and it is correctly focused afterwards -  open a file that was already opened before is correctly focused afterwards -  open a file two times and it is only opened once
jabref50-1888,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1881  i missed an if-statement when inverting an if/else in #1830 - ~~ change in changelogmd described~~ - introduced in development version only (fortunately)-  manually tested changed features in running jabref 1881 . i missed an if-statement when inverting an if/else in #1830  - ~~ ~~ - introduced in development version only (fortunately) -  manually tested changed features in running jabref
jabref50-1888,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1881  i missed an if-statement when inverting an if/else in #1830 - ~~ change in changelogmd described~~ - introduced in development version only (fortunately)-  manually tested changed features in running jabref 1881 . i missed an if-statement when inverting an if/else in #1830  - ~~ ~~ - introduced in development version only (fortunately) -  manually tested changed features in running jabref
jabref50-1888,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1881  i missed an if-statement when inverting an if/else in #1830 - ~~ change in changelogmd described~~ - introduced in development version only (fortunately)-  manually tested changed features in running jabref 1881 . i missed an if-statement when inverting an if/else in #1830  - ~~ ~~ - introduced in development version only (fortunately) -  manually tested changed features in running jabref
