prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
175,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Increase saving speed
187,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking
187,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking
187,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,[WIP] Fix linebreaking
204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,Added pushing citations to Texmaker
204,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Added pushing citations to Texmaker
204,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Added pushing citations to Texmaker
219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,IEEE journal abbreviations
219,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,IEEE journal abbreviations
219,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,IEEE journal abbreviations
287,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,DOAJ search
287,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,DOAJ search
287,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,DOAJ search
330,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #328: Added more and better information with unsaved database
330,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Fix #328: Added more and better information with unsaved database
330,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Fix #328: Added more and better information with unsaved database
370,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Add compatibility check for UTF8
370,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Add compatibility check for UTF8
370,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,Add compatibility check for UTF8
418,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,proxy authentication support (feature #388)
418,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,proxy authentication support (feature #388)
418,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,proxy authentication support (feature #388)
429,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Fix similar bug as #420 for the database properties dialog
429,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Fix similar bug as #420 for the database properties dialog
429,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fix similar bug as #420 for the database properties dialog
440,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Cleanup tests and LatexFormatter
440,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Cleanup tests and LatexFormatter
440,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Cleanup tests and LatexFormatter
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Revise maintable
452,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,Revise maintable
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Revise maintable
452,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,Revise maintable
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Revise maintable
452,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Revise maintable
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Revise maintable
452,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Revise maintable
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Revise maintable
452,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Revise maintable
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Revise maintable
452,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Revise maintable
452,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Revise maintable
459,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,Use default directory when adding files to an entry
459,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Use default directory when adding files to an entry
459,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Use default directory when adding files to an entry
472,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Show author/editor and journal/publisher in the main table by default
472,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Show author/editor and journal/publisher in the main table by default
472,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Show author/editor and journal/publisher in the main table by default
491,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Add close all/others/... in Database Tab menu
491,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Add close all/others/... in Database Tab menu
491,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Add close all/others/... in Database Tab menu
500,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Database type detection
500,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Database type detection
500,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Database type detection
515,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,BibtexImporter test
515,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,BibtexImporter test
515,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,BibtexImporter test
560,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,Write all field keys in lower case
560,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Write all field keys in lower case
560,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Write all field keys in lower case
567,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,Implements #565: Highlighting matches works now also for regular expr…
567,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Implements #565: Highlighting matches works now also for regular expr…
567,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,Implements #565: Highlighting matches works now also for regular expr…
568,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed #564: Cite command changes are immediately reflected in the pus…
568,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,Fixed #564: Cite command changes are immediately reflected in the pus…
568,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fixed #564: Cite command changes are immediately reflected in the pus…
569,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Remove field saving options
569,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,Remove field saving options
569,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Remove field saving options
594,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Solved #593 and cleaned up the OO-code a bit
594,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Solved #593 and cleaned up the OO-code a bit
594,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Solved #593 and cleaned up the OO-code a bit
595,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Fixed #545 - ACM fetcher works again
595,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Fixed #545 - ACM fetcher works again
595,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Fixed #545 - ACM fetcher works again
605,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,Change EntryType to String in BibEntry
605,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Change EntryType to String in BibEntry
605,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Change EntryType to String in BibEntry
605,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,Change EntryType to String in BibEntry
605,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Change EntryType to String in BibEntry
605,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,Change EntryType to String in BibEntry
648,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Partly implemented #647
648,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Partly implemented #647
648,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Partly implemented #647
660,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Add test for parsing accents
660,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Add test for parsing accents
660,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Add test for parsing accents
677,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Make BibTex parser more robust against missing newlines
677,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,Make BibTex parser more robust against missing newlines
677,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Make BibTex parser more robust against missing newlines
677,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Make BibTex parser more robust against missing newlines
677,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Make BibTex parser more robust against missing newlines
677,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Make BibTex parser more robust against missing newlines
683,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Remove URL sanitizer as it is malfunctioning and unclear where needed…
683,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Remove URL sanitizer as it is malfunctioning and unclear where needed…
683,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Remove URL sanitizer as it is malfunctioning and unclear where needed…
690,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Simplify matching complexity of unlinked file finder
690,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Simplify matching complexity of unlinked file finder
690,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Simplify matching complexity of unlinked file finder
711,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Remove global sorting functionality
711,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,Remove global sorting functionality
711,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Remove global sorting functionality
715,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,File based bibtex mode
715,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,File based bibtex mode
715,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,File based bibtex mode
716,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Introduce save actions
716,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Introduce save actions
716,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Introduce save actions
718,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Improve database writer
718,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Improve database writer
718,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Improve database writer
718,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Improve database writer
718,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,Improve database writer
718,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,Improve database writer
718,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Improve database writer
718,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,Improve database writer
718,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,Improve database writer
739,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,Use URLDownload instead of getResults for fetching stuff
739,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Use URLDownload instead of getResults for fetching stuff
739,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Use URLDownload instead of getResults for fetching stuff
752,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fixed #751
752,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,Fixed #751
752,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed #751
755,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,Fix NPE at saving does not reset save flag #741
755,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,Fix NPE at saving does not reset save flag #741
755,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Fix NPE at saving does not reset save flag #741
793,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,[WIP] More List<BibEntry> instead of BibEntry[]
793,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,[WIP] More List<BibEntry> instead of BibEntry[]
793,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,[WIP] More List<BibEntry> instead of BibEntry[]
799,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Better preference for default file-based mode
799,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Better preference for default file-based mode
799,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Better preference for default file-based mode
828,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,MimeTypeDetector Improvements
828,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,MimeTypeDetector Improvements
828,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,MimeTypeDetector Improvements
842,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Fixed #492: All text is copied if nothing is marked and preview of pa…
842,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fixed #492: All text is copied if nothing is marked and preview of pa…
842,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed #492: All text is copied if nothing is marked and preview of pa…
858,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Tab for remaining fields
858,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Tab for remaining fields
858,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Tab for remaining fields
864,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,Add dialog to show all preferences in their raw form plus some filtering
864,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,Add dialog to show all preferences in their raw form plus some filtering
864,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Add dialog to show all preferences in their raw form plus some filtering
874,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,Fixing OpenOffice Citation with curly braces and manual connection browsing
874,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Fixing OpenOffice Citation with curly braces and manual connection browsing
874,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,Fixing OpenOffice Citation with curly braces and manual connection browsing
874,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,Fixing OpenOffice Citation with curly braces and manual connection browsing
874,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fixing OpenOffice Citation with curly braces and manual connection browsing
874,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fixing OpenOffice Citation with curly braces and manual connection browsing
877,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Add ability to run arbitrary formatters as cleanup actions
877,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,Add ability to run arbitrary formatters as cleanup actions
877,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Add ability to run arbitrary formatters as cleanup actions
879,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Fix #466: Rename PDF cleanup now also changes case of file name
879,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fix #466: Rename PDF cleanup now also changes case of file name
879,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix #466: Rename PDF cleanup now also changes case of file name
884,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Fixed #883
884,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,Fixed #883
884,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed #883
903,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Fixed #890
903,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fixed #890
903,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Fixed #890
915,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Add button in preference dialog to reset preferences
915,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,Add button in preference dialog to reset preferences
915,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Add button in preference dialog to reset preferences
925,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Add tests for metadata parsing
925,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,Add tests for metadata parsing
925,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Add tests for metadata parsing
926,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Key bindings are now working in preview panel
926,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,Key bindings are now working in preview panel
926,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,Key bindings are now working in preview panel
929,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Find unlinked files" freezes when using for PDF
929,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,"Find unlinked files" freezes when using for PDF
929,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,"Find unlinked files" freezes when using for PDF
947,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[WIP] Fix for undoing deletion/cutting multiple entries
947,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,[WIP] Fix for undoing deletion/cutting multiple entries
947,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,[WIP] Fix for undoing deletion/cutting multiple entries
974,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Always trim fields on save and remove TrimFormatter
974,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,Always trim fields on save and remove TrimFormatter
974,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,Always trim fields on save and remove TrimFormatter
979,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Refactored Singlebibtexfield
979,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,Refactored Singlebibtexfield
979,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Refactored Singlebibtexfield
988,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,When clicking on a tab  the first field now has the focus
988,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,When clicking on a tab  the first field now has the focus
988,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,When clicking on a tab  the first field now has the focus
996,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,fix entry deletion from database
996,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,fix entry deletion from database
996,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,fix entry deletion from database
999,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,DB properties layout and save order config changed
999,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,DB properties layout and save order config changed
999,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,DB properties layout and save order config changed
999,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,DB properties layout and save order config changed
999,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,DB properties layout and save order config changed
999,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,DB properties layout and save order config changed
1010,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Added initial tests for ExportFormat
1010,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,Added initial tests for ExportFormat
1010,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,Added initial tests for ExportFormat
1014,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,Improved Exception Handling in Tests cases
1014,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Improved Exception Handling in Tests cases
1014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Improved Exception Handling in Tests cases
1041,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Write database type in lower case into the bib file
1041,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,Write database type in lower case into the bib file
1041,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,Write database type in lower case into the bib file
1050,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,Restructrued CleanUp Formatters dialog  #1038
1050,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Restructrued CleanUp Formatters dialog  #1038
1050,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Restructrued CleanUp Formatters dialog  #1038
1054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fix sorting of entries on save
1054,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix sorting of entries on save
1054,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Fix sorting of entries on save
1064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fix #1062 Merge entry with DOI information now also applies changes to entry type
1064,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,Fix #1062 Merge entry with DOI information now also applies changes to entry type
1064,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Fix #1062 Merge entry with DOI information now also applies changes to entry type
1089,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,FileList field size now dependent on its content
1089,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,FileList field size now dependent on its content
1089,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,FileList field size now dependent on its content
1116,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Open Jdk problems with Look and Feels
1116,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Open Jdk problems with Look and Feels
1116,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,Open Jdk problems with Look and Feels
1116,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Open Jdk problems with Look and Feels
1116,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Open Jdk problems with Look and Feels
1116,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Open Jdk problems with Look and Feels
1135,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Fix #1130 and re-enable GUI test
1135,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fix #1130 and re-enable GUI test
1135,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fix #1130 and re-enable GUI test
1138,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,ImportFormatReader test
1138,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,ImportFormatReader test
1138,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,ImportFormatReader test
1144,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Readd FormatChars support
1144,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Readd FormatChars support
1144,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,Readd FormatChars support
