Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,maintable leaves the swing year and comes back in a new javafx dress
1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,make it possible to disable autocompletion in the search bar
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,extend ris import with multiple fields
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,export no empty lines in ris format
1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,group separator escaping
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,add cleanup operation for replacing ligatures
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,do no longer log invalidfieldvalueexceptions during autosave
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,add union intersection toogle to groups menu
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,fix ieee fetcher by enabling cookie support
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,fix ieee preview does not display month
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,fix acm fetcher import of entries
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,a first solution for the cli problem
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,opens the directory of the currently edited file when opening a new file
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,order of fields in customized entry types is saved correctly
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,do not show recommendations per default in v
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fix for issue migrate all tests to junit
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix drag and drop in entry editor
1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,fix that rename and move file throws file not found exception
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,added new keyboard shortcut ctrl e for closing the entry editor
1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,fix for issue disable rename when filename is the same
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,display deprecated fields in misc entry also in optional fields tab
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,display deprecated fields in misc entry also in optional fields tab
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix group hit counter when adding entries
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,searchable filterable preferences
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix generate bibtex key overwrite warning dialog
1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,fix bug when edit group name
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed put html in clipboard
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix button sizes in issue
1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,fixes that renaming a group did not change the group name in the interface
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,add uncaught exception message
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,add a variable to track the change in preview style
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,convert duplicateresolverdialog to javafx
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,fix for cant save new content selectors
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,changed the way the groupdialog description is displayed
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,group and reorder the main menu tabs & icons
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,group and reorder the main menu tabs & icons
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,group and reorder the main menu tabs & icons
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,disable renaming
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,improve toolbar icons and their layout
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,modifications to improve contrast of ui elements
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve remote messaging
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fix npe in duplicate resolver dialog
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,convert autolinkfilesaction to javafx
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,all buttons in custom dialogs react on enter
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,remove deprecated awt apple extension
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,store column widths as integer
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fixes remaining issues in
1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,resize different fonts changing entry type
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,duplicate check on import should be run in background task
1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,latex integration project
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,preserve encoding while copy and pasting in maintable
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,add copy linked files action to contextmneu in general tab
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,add search for citations in latex files back end and gui
1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,add citation commands to texparser
1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,with missing year value in year column
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,treat unknown fields as multi line fields
1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,fix display bug for keyword groups with empty keywords
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,fix group color when scrolling
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,fix default group color
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,fix for fallback to in case stored preview cycle pos does no longer exist
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,fix highlight issues for lists
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,fix highlight issues for lists
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,mark oostyle as invalid if no defaultstyle
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,fix highlight problem in entry preview
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,make entry editor dnd behave as specified in settings
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,select newly added jstyle in table to prevent exception
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,side pane not remembering position
