Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,"show author/editor and journal/publisher in the main table by default implements #470 looks like follows:![grabbed_20151205-225839](https://cloudgithubusercontentcom/assets/1366654/11610469/bf3126ea-9ba3-11e5-8b8a-fc9b5d97a97dpng)""author/editor"" is okunsure if ""journal/publisher"" is confusing i think `booktitle/journal` would be the right correspondence we should replace the default ""journal"" column by `booktitle/journal` and maybe add the `publisher` column as default columnhow often is `inbook` used? consequently `title` should become `chapter/title` but that heading is confusing || id also vote for journal/booktitle (as that is what i use dealing primarily with journal and conference papers) on the other hand a good thing with this pr is that it indicates that these things are possible and how to do it || the journal says where an article is published similarly the publisher iswell the publisher of the book so i would advocate the proposed `journal/publisher` booktitle would probably only make sense for articles in conference proceedings i think articles and books are the most common types so we should focus on them@koppor: `inbook`s also have an author and title so there shouldnt be a problem || guess it depends on scientific area i would possibly argue that in general a publisher doesnt really add any important information even for books while in the case of conference papers the booktitle is crucial (i know that the publisher is important to create a valid reference but it doesnt really add any information when browsing a database) || in my discipline (computer science) id see the correspondence as follows (bibtex fields)| inproceedings | journal || --- | --- || title | title || author | author || booktitle | journal || publisher | publisher || year | year |for instance take an elsevier article (http://wwwsciencedirectcom/science/article/pii/s0268401215000808) the publisher is elsevier but the journal is ""international journal of information management"" elsevier publishes more than one journali read ""where something is published"" as the conference and the concrete journal the conference is stored in ""booktitle"" whereas the concrete journal is stored in ""journal"" both kinds of works are published by a publisheris it different in your discipline @tobiasdiez? || i do not think @tobiasdiez disagrees with that analysis but i got theimpression that he cites more books than conference papers in that case ican probably agree that publisher is the ""next"" field to add (mainlybecause of lack of others)journal/booktitle/publisher? (except for the very long heading) || ok apparently the majority is for booktitle hence i changed it accordingly my reasoning was indeed based on `book`s for which the publisher is the equivalent of a journal since books occur more often in my database i thought this addition was more valuable for `inproceedings` the booktitle indeed makes more sense || i suppose `journal/booktitle/publisher` is too confusing? i really agree that the column `journal/booktitle` is empty too often if many books are in the databaseill merge it and lets see what others say :sunflower:  || "
1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,"show author/editor and journal/publisher in the main table by default implements #470 looks like follows:![grabbed_20151205-225839](https://cloudgithubusercontentcom/assets/1366654/11610469/bf3126ea-9ba3-11e5-8b8a-fc9b5d97a97dpng)""author/editor"" is okunsure if ""journal/publisher"" is confusing i think `booktitle/journal` would be the right correspondence we should replace the default ""journal"" column by `booktitle/journal` and maybe add the `publisher` column as default columnhow often is `inbook` used? consequently `title` should become `chapter/title` but that heading is confusing || id also vote for journal/booktitle (as that is what i use dealing primarily with journal and conference papers) on the other hand a good thing with this pr is that it indicates that these things are possible and how to do it || the journal says where an article is published similarly the publisher iswell the publisher of the book so i would advocate the proposed `journal/publisher` booktitle would probably only make sense for articles in conference proceedings i think articles and books are the most common types so we should focus on them@koppor: `inbook`s also have an author and title so there shouldnt be a problem || guess it depends on scientific area i would possibly argue that in general a publisher doesnt really add any important information even for books while in the case of conference papers the booktitle is crucial (i know that the publisher is important to create a valid reference but it doesnt really add any information when browsing a database) || in my discipline (computer science) id see the correspondence as follows (bibtex fields)| inproceedings | journal || --- | --- || title | title || author | author || booktitle | journal || publisher | publisher || year | year |for instance take an elsevier article (http://wwwsciencedirectcom/science/article/pii/s0268401215000808) the publisher is elsevier but the journal is ""international journal of information management"" elsevier publishes more than one journali read ""where something is published"" as the conference and the concrete journal the conference is stored in ""booktitle"" whereas the concrete journal is stored in ""journal"" both kinds of works are published by a publisheris it different in your discipline @tobiasdiez? || i do not think @tobiasdiez disagrees with that analysis but i got theimpression that he cites more books than conference papers in that case ican probably agree that publisher is the ""next"" field to add (mainlybecause of lack of others)journal/booktitle/publisher? (except for the very long heading) || ok apparently the majority is for booktitle hence i changed it accordingly my reasoning was indeed based on `book`s for which the publisher is the equivalent of a journal since books occur more often in my database i thought this addition was more valuable for `inproceedings` the booktitle indeed makes more sense || i suppose `journal/booktitle/publisher` is too confusing? i really agree that the column `journal/booktitle` is empty too often if many books are in the databaseill merge it and lets see what others say :sunflower:  || "
1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,add close all/others/ in database tab menu see #314 changelog is missing otherwise :+1:  ||
1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,database type detection please see `bibdatabasetypedetectionjava`for reviewsome refactoring and a class for auto-detection of database types### algorithm- should we introduce a hard-coded field like encodings inside the bib file?- fast-enough?- what about false detection?### refactoring- bibtexdatabase -> bibdatabase- bibtexentry -> bibentryalso see #495 #167 the refactorings are fine from my point of viewthe detection is based on in-memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non-biblatex/non-bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result? i would rather ignore all non-bibtex / non-biblatex types for the decision (customentry unkownentry ieeetranentry ) and do the decision solely on valid types with bibtex as the default result || @lenhard no it should always detect as biblatex if it finds one exclusive entry  || the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine ||
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,database type detection please see `bibdatabasetypedetectionjava`for reviewsome refactoring and a class for auto-detection of database types### algorithm- should we introduce a hard-coded field like encodings inside the bib file?- fast-enough?- what about false detection?### refactoring- bibtexdatabase -> bibdatabase- bibtexentry -> bibentryalso see #495 #167 the refactorings are fine from my point of viewthe detection is based on in-memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non-biblatex/non-bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result? i would rather ignore all non-bibtex / non-biblatex types for the decision (customentry unkownentry ieeetranentry ) and do the decision solely on valid types with bibtex as the default result || @lenhard no it should always detect as biblatex if it finds one exclusive entry  || the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine ||
1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,bibteximporter test added tests for bibteximporter depends on pr #514 (missing gradle test encoding special char ß) i had a personal discussion with @bartsch-dev that the current bibteximporter is _not_ aware of the encoding header the reading of jabrefs encoding header is implemented in `opendatabaseaction` and not somewhere in the bibtexparsertherefore there is _no_ test of different encoding strings and it can imho only handle ascii encoded files || i would let this go through and handle the usage of the open method of `opendatabaseaction` in a separate issue || note that none of the files written at https://githubcom/jabref/jabref/wiki/bibtex are tested here || fixed all the mentioned issuesthe `git` part in the file was as already mentioned the title of the book which i took as an examplei also added some examples from https://githubcom/jabref/jabref/wiki/bibtex || i think this can be merged in || as discussed in https://githubcom/jabref/jabref/issues/558#issuecomment-195430095 it is not necessary to refactor `opendatabaseaction` because of this importer ||
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"write all field keys in lower case write all field keys in lower case no more camel casing of field names eg `title` is written instead of `title` `howpublished` instead of `howpublished` and `doi` instead of `doi` the configuration option `use camel case for field names (eg ""howpublished"" instead of ""howpublished"")` is gonerefs #116  maybe the ui also has to display lower case values or should it use the (currently removed) camelcase functionality? i dont like the current `entryutilcapitalizefirst` solution (found in maintablecolumnjava) || in my opinion it should use lower case since we are standardizing on that id say you are free to implement what you find more beautiful :) || :+1: on lower case  ||"
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"write all field keys in lower case write all field keys in lower case no more camel casing of field names eg `title` is written instead of `title` `howpublished` instead of `howpublished` and `doi` instead of `doi` the configuration option `use camel case for field names (eg ""howpublished"" instead of ""howpublished"")` is gonerefs #116  maybe the ui also has to display lower case values or should it use the (currently removed) camelcase functionality? i dont like the current `entryutilcapitalizefirst` solution (found in maintablecolumnjava) || in my opinion it should use lower case since we are standardizing on that id say you are free to implement what you find more beautiful :) || :+1: on lower case  ||"
1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,implements #565: highlighting matches works now also for regular expr… …essions in preview panel and entry editor  
1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,fixed #564: cite command changes are immediately reflected in the pus… …h-to-application actions and not only after restart :+1: ||
1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,remove field saving options as decided in #116 all field saving options should be removedthis pr purges the options from the gui and cleans up related reader and formatter classes this simplification greatly reduces the complexity of `bibentrywriter`  
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,"solved #593 and cleaned up the oo-code a bit hopefully solved #593try it out at http://buildsjabreforg/ooreferencelist/(also cleaned up the code a bit based on pmd the actual fix is on lines 76-90 in ooutiljava) looks good is it possible that the dependency on ""unoiljar"" can be removed? || unoiljar was in a separate directory before (changing the default paths to be the same for unoil and the other jars where jurtjar is the one searched for was the biggest change to get it to work with the most recent versions of oo and lo) || "
1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,add test for parsing accents i tried to replicate the problems of #650 but in the progress realized that the problem lied in the bib file provided there and not in the parser so the added test is rather useless but i figured it does not hurt to have more tests :)  
1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,add test for parsing accents i tried to replicate the problems of #650 but in the progress realized that the problem lied in the bib file provided there and not in the parser so the added test is rather useless but i figured it does not hurt to have more tests :)  
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,make bibtex parser more robust against missing newlines as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content :+1: (except my minor comment) || corrected for some reason the code style was not imported correctly in intellij || hm i just use the default intellij code style :) || @tobiasdiez: what do you think should be done to fix the above issues completely? || @lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now (including a bit of refactoring to make testing easier) || @tobiasdiez ok good to hear! ill concentrate on other issues then ||
1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,"remove url sanitizer as it is malfunctioning and unclear where needed… also see #667@jabref/developers if someone knows a use case where this is needed and why we can try to reimplement it properly but this way it really makes no sense imho so then either `urldecoderdecode` or `uritoasciistring` converts `#` to `%23`? of course not impossible but seems like one has used the incorrect methods in that casei think the main things it does is replacing space with %20 in the urls and removing any `\url{}` commands there will probably be users that will run into problems but maybe one can add a url cleanup that does the corresponding thing?i think an alternative solution would just be to do a `replaceall(""%23""""#"")` at the end || the problem is that is really hard to correctly encode a url if we are not aware of its structure regardless of what methods we useso if we are not completely sure we need it we should probably not do this || :+1: sounds reasonable || @koppor what do you think about this? especially is it possible that users have a `url{\url{http://googlecom}}` in their bibfile? and what about escaping symbols for latex like `%`or `#`? || unsure the method comment states following:> make sure an url is ""portable"" in that it doesnt contain bad characters that break the open command in some  oses a call to this method will also remove \url{} enclosingsthat reads perfectly fineok i also read the following> // fixme: everything below is really flawed atmmaybe we should cleanup the url fields and not do the cleanup at the place of opening although i see the issue of malicious bib files which could have an url executing malicious code however that risk is so low that i would not count on itmeaning: :+1: and open a new issue for cleanup || "
1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,fix npe at saving does not reset save flag #741 fix #741 (and a lot of other null pointer exceptions) gettype and getstandardtype now return an optional instead of possible null values looks good to me! :+1:  || would be cool if we can increase the test coverage especially for the newly created branches otherwise lgtm :+1:  || i added tests for all uncovered branches in typedbibentry and after two lgtm will merge this in @oscargus have fun rebasing :smile:  ||
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,mimetypedetector improvements see #824- added a http stubbing library- added a redirection test- added a mime type variation test- changed detection implementation to httpurlconnectionlooks like it works @koppor do you know how to host files and redirection on wwwjabreforg? || file hosting: even though it is possible to add files by adding them to https://githubcom/jabref/wwwjabreforg (gh-pages branch) i would propose to create a new url `testjabreforg` where we host such files we should not mix pagesredirections: they are possible at github using html redirects: https://helpgithubcom/articles/redirects-on-github-pages/ however these are not the redirects we are aiming for i can setup `testjabreforg` on my private server and create some redirects || ok we can mock the http request via wiremock should be way better than having an external dependency to our homepage ||
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,fixed #492: all text is copied if nothing is marked and preview of pa… fixed #492when nothing is selected the whole field is copied if the field is empty the right click copy item is disabledpreview of text to be pasted in tool tip now maximum 20 characters should it be longer?  
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,fixed #492: all text is copied if nothing is marked and preview of pa… fixed #492when nothing is selected the whole field is copied if the field is empty the right click copy item is disabledpreview of text to be pasted in tool tip now maximum 20 characters should it be longer?  
