prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
143,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there. Why does it lose focus anyway? This makes no sense to me. Saving should be a background process triggered by a key event.  || I think  a backport to dev_2.11 is not necessary.  @stefan-kolb I agree. Very strange that the focus is changed.  || ... debugging this code is hell! :scream:  The new fix fixes the problem where it is caused: Method `updateField` in `EntryEditorTab` re-sets the textfield which causes a loss of the current caret position...  || This looks way better and easier to maintain :blush:  ||
143,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,Fix SF Bug #1285 Restores the cursor resp. "caret" position when a field is store during editing. This fixes [SF.net bug #1285](http://sourceforge.net/p/jabref/bugs/1285/).  To be done:  - Backport to dev_2.11 - Ask for confirmation on SF.net and close the issue there. Why does it lose focus anyway? This makes no sense to me. Saving should be a background process triggered by a key event.  || I think  a backport to dev_2.11 is not necessary.  @stefan-kolb I agree. Very strange that the focus is changed.  || ... debugging this code is hell! :scream:  The new fix fixes the problem where it is caused: Method `updateField` in `EntryEditorTab` re-sets the textfield which causes a loss of the current caret position...  || This looks way better and easier to maintain :blush:  ||
175,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning. Are there further improvements to be made? Otherwise  this PR is ready to merge.  ||
175,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning. Are there further improvements to be made? Otherwise  this PR is ready to merge.  ||
175,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Increase saving speed Intended to fix #122  this PR turned into a major API change. It replaces `String[]` in the return types of `BibtexEntryType` with `List<String>`. This allows to return immutable lists instead of mutable arrays and improves the stability of the program. Additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  With respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning. Are there further improvements to be made? Otherwise  this PR is ready to merge.  ||
187,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting? The remaining code of `FileContentParser.format` is a complete mess of one-off hacks. I am very much for deleting it and rewriting the parsing logic to just remove newlines for non-multiline fields and ignore tabs or spaces completely. If we document that with tests  at least we know what the code is doing...   || 859274e54af0948108ff16fa697dabb595768c12 replaces the weird code in `FieldContentParser` with a single (and simple) regex. Now the tests pass and  as far as I can tell  #114 and #186 are fixed. Could someone else please double check? (Note: Parsing is only done when loading the file. So if you add faulty text to a field  you can save it as such. On restart  the errors should be fixed by the parser).   If something is not quite right  please add the faulty behavior as a test!  || thanks @stefan-kolb! the "file" field is now ignored from parsing.  || Ok I think we are good to go. You can also close all other mentioned issues for now!  || Works great here :+1:   || 
187,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting? The remaining code of `FileContentParser.format` is a complete mess of one-off hacks. I am very much for deleting it and rewriting the parsing logic to just remove newlines for non-multiline fields and ignore tabs or spaces completely. If we document that with tests  at least we know what the code is doing...   || 859274e54af0948108ff16fa697dabb595768c12 replaces the weird code in `FieldContentParser` with a single (and simple) regex. Now the tests pass and  as far as I can tell  #114 and #186 are fixed. Could someone else please double check? (Note: Parsing is only done when loading the file. So if you add faulty text to a field  you can save it as such. On restart  the errors should be fixed by the parser).   If something is not quite right  please add the faulty behavior as a test!  || thanks @stefan-kolb! the "file" field is now ignored from parsing.  || Ok I think we are good to go. You can also close all other mentioned issues for now!  || Works great here :+1:   || 
187,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,[WIP] Fix linebreaking Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting? The remaining code of `FileContentParser.format` is a complete mess of one-off hacks. I am very much for deleting it and rewriting the parsing logic to just remove newlines for non-multiline fields and ignore tabs or spaces completely. If we document that with tests  at least we know what the code is doing...   || 859274e54af0948108ff16fa697dabb595768c12 replaces the weird code in `FieldContentParser` with a single (and simple) regex. Now the tests pass and  as far as I can tell  #114 and #186 are fixed. Could someone else please double check? (Note: Parsing is only done when loading the file. So if you add faulty text to a field  you can save it as such. On restart  the errors should be fixed by the parser).   If something is not quite right  please add the faulty behavior as a test!  || thanks @stefan-kolb! the "file" field is now ignored from parsing.  || Ok I think we are good to go. You can also close all other mentioned issues for now!  || Works great here :+1:   || 
204,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582. Looks good. Minor comments above. The abstract class `AbstractPushToApplication` could be left as future work. :smiley:  || Thanks.  I agree. There are changes to the other PushToXXX classes in the FormBuilder pull request  so I would prefer to base the `AbstractPushToApplication` on the unified source. :-) (Especially with my still improvable git wizardry).  || OK  I let this go through  we will work on https://github.com/JabRef/jabref/pull/205 and possibly finally with another PR.  ||
204,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582. Looks good. Minor comments above. The abstract class `AbstractPushToApplication` could be left as future work. :smiley:  || Thanks.  I agree. There are changes to the other PushToXXX classes in the FormBuilder pull request  so I would prefer to base the `AbstractPushToApplication` on the unified source. :-) (Especially with my still improvable git wizardry).  || OK  I let this go through  we will work on https://github.com/JabRef/jabref/pull/205 and possibly finally with another PR.  ||
204,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,Added pushing citations to Texmaker Implements SourceForge feature requests #318 and #582. Looks good. Minor comments above. The abstract class `AbstractPushToApplication` could be left as future work. :smiley:  || Thanks.  I agree. There are changes to the other PushToXXX classes in the FormBuilder pull request  so I would prefer to base the `AbstractPushToApplication` on the unified source. :-) (Especially with my still improvable git wizardry).  || OK  I let this go through  we will work on https://github.com/JabRef/jabref/pull/205 and possibly finally with another PR.  ||
219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,IEEE journal abbreviations Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.  
219,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,IEEE journal abbreviations Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.  
219,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,IEEE journal abbreviations Why? - See #173   What is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - IEEE abbreviations are either plain (text) or in latex (code) form. For each of them  a separate file exist now. The config option `USE_IEEE` loads the latex one if it is true  and the plain one otherwise.  
287,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,DOAJ search Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208 I think Im done there. :-)  || Looks good to me.   || One minor thing: The current title is "DOAJ (Directory of Open Source Journals)" which is much longer than the rest of the fetcher titles. This introduces horizontal scrollbars in the fetcher sidebar when using the default width:  ![doaj-screenshot](https://cloud.githubusercontent.com/assets/676652/11044339/8ff615a2-8721-11e5-9a67-f2b1ca610747.png)  Apart from this  "ready to go" from my side  too.  || There is no such property like [text-overflow](http://www.w3schools.com/cssref/css3_pr_text-overflow.asp) in SWING  is it? :star2:   || I think Java actually does snip too long texts - if the component has a fixed size. So this does not help here.  Ill merge the current state  but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean...  || 
287,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,DOAJ search Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208 I think Im done there. :-)  || Looks good to me.   || One minor thing: The current title is "DOAJ (Directory of Open Source Journals)" which is much longer than the rest of the fetcher titles. This introduces horizontal scrollbars in the fetcher sidebar when using the default width:  ![doaj-screenshot](https://cloud.githubusercontent.com/assets/676652/11044339/8ff615a2-8721-11e5-9a67-f2b1ca610747.png)  Apart from this  "ready to go" from my side  too.  || There is no such property like [text-overflow](http://www.w3schools.com/cssref/css3_pr_text-overflow.asp) in SWING  is it? :star2:   || I think Java actually does snip too long texts - if the component has a fixed size. So this does not help here.  Ill merge the current state  but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean...  || 
287,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,DOAJ search Search for Directory of Open Access Journals. Quite functional  but the remaining things should (probably) be done - [x] ~~Help page~~ - [x] Decide on where the BibJSONConverter class should be positioned (input?) - [x] More fields? ~~ISSN?~~ - [x] ~~Better/more error checking~~ - [x] ~~Handle search results with more than 100 entries properly~~ - [x] ~~Fill empty methods in DOAJFetcher~~ - [x] ~~Update status bar~~ - [x] Add test for BibJSONConverter - [x] ~~Enable stopping search~~  Implements what is discussed in #208 I think Im done there. :-)  || Looks good to me.   || One minor thing: The current title is "DOAJ (Directory of Open Source Journals)" which is much longer than the rest of the fetcher titles. This introduces horizontal scrollbars in the fetcher sidebar when using the default width:  ![doaj-screenshot](https://cloud.githubusercontent.com/assets/676652/11044339/8ff615a2-8721-11e5-9a67-f2b1ca610747.png)  Apart from this  "ready to go" from my side  too.  || There is no such property like [text-overflow](http://www.w3schools.com/cssref/css3_pr_text-overflow.asp) in SWING  is it? :star2:   || I think Java actually does snip too long texts - if the component has a fixed size. So this does not help here.  Ill merge the current state  but a potential improvement would be to define tooltips for the combobox to show some hints what the various abbreviations actually mean...  || 
330,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #328: Added more and better information with unsaved database ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.) @oscargus Tooltip for screenshots: [GrabNDrop](http://www.scyv.de/gnd/).  ||
330,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Fix #328: Added more and better information with unsaved database ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.) @oscargus Tooltip for screenshots: [GrabNDrop](http://www.scyv.de/gnd/).  ||
330,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Fix #328: Added more and better information with unsaved database ![capturedialog](https://cloud.githubusercontent.com/assets/8114497/11130895/e1dd1e66-8987-11e5-85f3-e268a193c68e.PNG)  (In this case it was a new database  otherwise the full path is shown.) @oscargus Tooltip for screenshots: [GrabNDrop](http://www.scyv.de/gnd/).  ||
370,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Add compatibility check for UTF8 This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think? What about replacing all string representation of encodings by [`Charset`](https://docs.oracle.com/javase/8/docs/api/java/nio/charset/Charset.html)? Then on export `getEncoding.name()` returns the correct description "UTF-8".  || Sounds like a good idea! We should give it a try.  || @tobiasdiez great advice! `Charset` already implements the correct encoding name translation. All we have to do is through it into `Charset` and read it our again and we can skip the hack:  ``` java pr.setEncoding(Charset.forName(reader.getEncoding()).name())  ```  || Please merge master: We did a mayor overhaul of the OpenDatabaseAction: Deleted code etc.   || @lenhard Glad this was helpful. I think the code would even further improve if the ParserResult (and maybe some other classes) does not hold the encoding as a string but as a `Charset`  i.e. `public Charset getEncoding()` and similarly for `setEncoding`.  || @koppor Done! @tobiasdiez Sure. But I think this should be part of a new PR  since this PR just attempts to fix one particular issue.  || 
370,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,Add compatibility check for UTF8 This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think? What about replacing all string representation of encodings by [`Charset`](https://docs.oracle.com/javase/8/docs/api/java/nio/charset/Charset.html)? Then on export `getEncoding.name()` returns the correct description "UTF-8".  || Sounds like a good idea! We should give it a try.  || @tobiasdiez great advice! `Charset` already implements the correct encoding name translation. All we have to do is through it into `Charset` and read it our again and we can skip the hack:  ``` java pr.setEncoding(Charset.forName(reader.getEncoding()).name())  ```  || Please merge master: We did a mayor overhaul of the OpenDatabaseAction: Deleted code etc.   || @lenhard Glad this was helpful. I think the code would even further improve if the ParserResult (and maybe some other classes) does not hold the encoding as a string but as a `Charset`  i.e. `public Charset getEncoding()` and similarly for `setEncoding`.  || @koppor Done! @tobiasdiez Sure. But I think this should be part of a new PR  since this PR just attempts to fix one particular issue.  || 
370,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,Add compatibility check for UTF8 This PR attempts to fix #367  We have a bit of a problem. `UTF8` came from these lines  ``` java         try (InputStreamReader reader  openFile(fileToOpen  suppliedEncoding  fallbackEncoding)) {             BibtexParser bp  new BibtexParser(reader)               ParserResult pr  bp.parse()              pr.setEncoding(reader.getEncoding())  ```  It is set in [this method call](https://docs.oracle.com/javase/8/docs/api/java/io/InputStreamReader.html#getEncoding--). Thats the Java API. The `InputStreamReader` says that the proper name of the encoding is `UTF8`.   My solution is an ugly compatibility hack in which we just insert the `-` manually. Ugly  but works... What do you think? What about replacing all string representation of encodings by [`Charset`](https://docs.oracle.com/javase/8/docs/api/java/nio/charset/Charset.html)? Then on export `getEncoding.name()` returns the correct description "UTF-8".  || Sounds like a good idea! We should give it a try.  || @tobiasdiez great advice! `Charset` already implements the correct encoding name translation. All we have to do is through it into `Charset` and read it our again and we can skip the hack:  ``` java pr.setEncoding(Charset.forName(reader.getEncoding()).name())  ```  || Please merge master: We did a mayor overhaul of the OpenDatabaseAction: Deleted code etc.   || @lenhard Glad this was helpful. I think the code would even further improve if the ParserResult (and maybe some other classes) does not hold the encoding as a string but as a `Charset`  i.e. `public Charset getEncoding()` and similarly for `setEncoding`.  || @koppor Done! @tobiasdiez Sure. But I think this should be part of a new PR  since this PR just attempts to fix one particular issue.  || 
