Util,Network,i18n,Test,IO,corpus
1.0,0.0,0.0,0.0,1.0,adjust the repeatwhen and retrywhen signatures to accept publisher on single and completable matching flowable s signaturereported in
1.0,0.0,0.0,0.0,1.0,this pr adds the singleunsubscribeon operatorrelated
1.0,0.0,0.0,1.0,1.0,the pr fixes both the time maxsize bound buffer operators of flowable and observable the logic didnt properly mutually exclude the timer action and the onnext action resulting in probabilistic emission of the same buffer twicereported in
1.0,0.0,1.0,1.0,1.0,much like i discovered when trying to fake a slow flaky backend that singledelay doesnt delay errorsthis pr adds an overload that does bringing singledelay in line with observabledelay it also corrects the javadoc for existing overloads only updated
1.0,0.0,0.0,1.0,1.0,this pr should fix the bug that caused the test failure in the bug manifested itself when a cancellation was happening the same time a request was being fulfilled since the same request accounting was used for cancellation indicator if the cancel happened between the onnext s get check and decrementandget this decrementandget decremented longmin_value unconditionally which lead to a state that would appear the subscriber still can receive events a concurrent offer which saves the current array of registered subscriber s then would emit an item and overflow the subscriber the fix is to use the cancellation aware backpressurehelperproducedcancel utilityunit test were added to verify the correct behavior on both publishprocessor and behaviorprocessor the latter uses different cancellation mechanism via a dedicated field
1.0,0.0,0.0,1.0,1.0,there was a test class named observablefromcompletabletest which actually was targeting observablefromcallabletest this was most likely just a naming issue copied all tests from observablefromcompletabletest to observablefromcallabletest and deleted the former class
0.0,0.0,0.0,0.0,1.0,signed off by shaishavgandhi
1.0,0.0,0.0,1.0,1.0,the observableswitchmap had bad logic in its main onerror handler which didnt dispose the current inner observable the flowable version didnt have this logic error both variants received an unit test to verify the correct behavior
1.0,0.0,0.0,1.0,1.0,this pr adds the flowableswitchmapcompletable and flowableswitchmapcompletabledelayerror operators as requested by the associated new marbles are switchmapcompletable https rawgithubcom wiki reactivex rxjava images rx operators switchmapcompletablefpng switchmapcompletabledelayerror https rawgithubcom wiki reactivex rxjava images rx operators switchmapcompletabledelayerrorfpng
1.0,0.0,0.0,1.0,1.0,this pr adds flowable operators that allow switching between a mapped sequence of maybe s or single s with or without delaying their errors switchmapmaybe switchmapmaybedelayerror switchmapsingle switchmapsingledelayerror they are in the same pr as the single variants implementation is practically the maybe implementation minus the oncomplete casetheir marbles will be updated in a separate proriginally requested in
1.0,0.0,0.0,1.0,1.0,this pr ports the various switchmapx and concatmapx operators from and to observable concatmapcompletable replaced by the common implementation concatmapcompletabledelayerror concatmapmaybe concatmapmaybedelayerror concatmapsingle concatmapsingledelayerror switchmapcompletable switchmapcompletabledelayerror switchmapmaybe switchmapmaybedelayerror switchmapsingle dedicated implementation switchmapsingledelayerror dedicated implementation this pr concludes the requested set of operators in marbles will be updated adjusted in a separate pr
1.0,0.0,0.0,1.0,1.0,this pr fixes the upstream handling in flowablewindow publisher and flowablewindow callable operators to make sure if both the main output and the inner windows have been cancelled the upstream is also cancelledrelated in addition the jacoco code coverage has been updated to mainly due to the automatic filtering of difficult to impossible code paths https githubcom jacoco jacoco releases tag v
1.0,0.0,0.0,1.0,1.0,this pr fixes the accidental logical mistake in the cancel dispose logic of the new concatmapsingle and concatmapmaybe operators of both flowable and observable where the internal queue cleanup should happen in a serialized fashion only which is the state when the work in progress counter changes from to ensured by a check
1.0,0.0,0.0,0.0,1.0,this pr adds the following marble diagrams to completable operators amb ambarray complete image concatarray concat image defer image error image https rawgithubcom wiki reactivex rxjava images rx operators completableerrorpng image https rawgithubcom wiki reactivex rxjava images rx operators completableerrorfpng
1.0,0.0,0.0,0.0,1.0,here are operators for amb and ambarray from marble for amb amb for ambarray ambarray https rawentcom umfsimke rxjava images images ambarraypng
1.0,0.0,0.0,0.0,1.0,fix the marble diagram of the event mapping maybeflatmap operator in
1.0,0.0,0.0,0.0,1.0,configuring keep alive through system propertyresolves
1.0,0.0,1.0,1.0,1.0,this pr fixes the case when an observer subscriber disposes cancels immediately upon subscribing to a refcount operator before it establishes the connection and ends up with a disposed but non reset connection preventing further interactions with the connectable sourcethe fix is to detect this case and reset the connection when the connect method signals the dispose handlerboth connectableflowablerefcount and connectableflowablerefcount is affectedfixes
1.0,0.0,0.0,0.0,1.0,add before image elements in javadocresolves
1.0,0.0,0.0,1.0,1.0,
1.0,0.0,0.0,0.0,1.0,updating the version tag on schedulersfrom executor boolean since it was promoted
1.0,0.0,1.0,1.0,1.0,this pr removes kinds of operators that had no noticeable use bases or use cases on their own in the past years buffer supplier supplier window supplier int onexceptionresumenext resolves
1.0,0.0,1.0,1.0,1.0,this commit updates the unit tests of the following operators flowable maybe observable disposable observer parallel processors schedulersand rxjava pluginrelated
1.0,0.0,1.0,1.0,1.0,this commit updates the unit tests for internaloperatorobservable related
1.0,0.0,0.0,1.0,1.0,fix many operators to emit the collected exception in case of a cancel dispose call to the plugin error handler ie becoming undeliverable excptions in addition the terminal event error delivery has been unified in many other operators so that the terminal indicator exception is never leakedthere will be a separate pr about cleaning up the addthrowable usage cases fixes
1.0,0.0,0.0,1.0,1.0,change the code in the schedulerpoolfactory to use systemgetproperty directly also fix property names to rx as now both v and v could run together
1.0,0.0,0.0,1.0,1.0,make offer throw a nullpointerexception immediately instead of turning it into an error signal in addition have multicastprocessoroffer throw an illegalstateexception if called when the processor is in fusion mode
1.0,0.0,0.0,1.0,1.0,this pr adds the missing completableonerrorresumewith present in the rest of the base classesalso marbles for maybeonerrorresumenext and maybeonerrorresumewith have been updatedrelated https rawgithubcom wiki reactivex rxjava images rx operators completableonerrorresumewithpng image https rawgithubcom wiki reactivex rxjava images rx operators maybeonerrorresumenextpng image https rawgithubcom wiki reactivex rxjava images rx operators maybeonerrorresumewithpng
1.0,0.0,1.0,1.0,1.0,add the following operator aliases maybeconcatmapcompletable maybeconcatmapsingle singleconcatmapcompletable singleconcatmap singleconcatmapmaybe related addition some missing or wrong maybe marbles have been image https rawgithubcom wiki reactivex rxjava images rx operators maybeconcatmappng image https rawgithubcom wiki reactivex rxjava images rx operators maybeflatmapcompletable png image https rawgithubcom wiki reactivex rxjava images rx operators maybeflatmapsingle png image https rawgithubcom wiki reactivex rxjava images rx operators maybeflatmapsingleelementpng
1.0,0.0,0.0,1.0,1.0,the operators were already available elsewhererelated addition the maybe variants have received updated marbles as well image
1.0,0.0,0.0,1.0,1.0,dropped the old maybeflatmapsingle and replaced it with maybeflatmapsingleelement
1.0,0.0,0.0,1.0,1.0,reenable the xflatmaptestmaybesingle and make sure all flatmap variants behave the same when the flow is cancelled disposed while the mapper function is executing thus the returned inner source doesnt get subscribed to at all while adding the extra tests i noticed two flatmap variant is missing from single a combiner of the original and inner success item flatmap function bifunction a notification type mapper flatmap function function the same combiner variant for maybe received a marble diagram too image
1.0,0.0,0.0,0.0,1.0,flowable observable maybe and single now have a concateagerdelayerror delegating to the appropriate concatmapeagerdelayerror operatorin addition maybe and single received an overload concateager iterable int to expose the maxconcurrency option already present in the rest of the typesnote that completableconcateagerdelayerror is essentially the same as mergedelayerror because there are no items to keep emitting in order the flowable and observable variant of concateager also received fresh marble diagrams related flowable observable image maybe image single image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerinpng image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerpnpng image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerdelayerroripng image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerdelayerrorinpng image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerdelayerrorppng image https rawgithubcom wiki reactivex rxjava images rx operators singleconcateagerdelayerrorpnpng
1.0,0.0,0.0,1.0,1.0,just a backport to x of the fix for the scalar queue max concurrency issue already for x in the code for the fix has been added and also the test for itin addition as was also done for the corresponding test for flowableflatmap has been added
1.0,0.0,1.0,1.0,1.0,adds the new system property rx schedulerdrift tolerance unit to allow specifying a more fine grained tolerance amount
