Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2394-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`? 2394.  -   -   -   () -  -   ( []( -  if you changed the localization: did you run  gradle ate ?
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,   _ ?_this pr migrates the resources for shortcut guide to resx as per the steps done in #6057 the pr is currently made towards that branch to minimize the diff     6055 *      (  *   tests passed   ?_- moved shortcut guide resources to resx- added build script and base rc and h files- added locprojectjson   _ ?_- validated that sg strings appear in the ui in os language english and french- validated localized resx files are generated and msi works on [cdpx pipeline](https://github-privatevisualstudiocom/microsoft/_build/results?buildid10352&viewresults)    _?_ this pr migrates the resources for shortcut guide to resx as per the steps done in #6057. the pr is currently made towards that branch to minimize the diff.    6055  . if not  go over [here](  *  tests passed   info on pull request  __ - moved shortcut guide resources to resx. - added build script and base rc and h files - added locproject.json     _?_ - validated that sg strings appear in the ui in os language english and french. - validated localized resx files are generated and msi works on [cdpx pipeline](https://github-private.visualstudio.com/microsoft/_build/results?buildid=10352&view=results)
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,      log events:* when specific oobe sections are entered/exited* access to linked settings pages* powertoys launched while oobe window is active  :    :     -     ** #9915 -   ** **   -   ** **  -   ** **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (        log events: * when specific oobe sections are entered/exited * access to linked settings pages * powertoys launched while oobe window is active.  :   :      -  ** #9915  -  **** i ve discussed this with core contributors in the issue.  -  ****  -  ****  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows     this 1453 and also #286.         1453 .       the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height.      tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows.
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,        ( (      because github does not support autolinking there -->4202 and a few other small style related issues i also created a little new app that make it simple to test the display of javafx controls as of now i only added a lot of buttons in different styles and states:( merge instead of squashing the commits-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)          ( (        4202 and a few other small style related issues. i also created a little new app that make it simple to test the display of javafx controls. as of now  i only added a lot of buttons in different styles and states: (  please merge instead of squashing the commits.  ----  -   -   -  -   () -  ( -   ( []()?)
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,   getting stylecop enabled on all projects this is for shell plugin     5295*      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #    ?_   _ ?_    getting stylecop enabled on all projects  this is for shell plugin    5295 . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #   info on pull request  __     _?_
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,   trouble summary it must only be possible to add one strategy rule(pops) for aggregated charges strategy. but know it is possible in the gui to add more than one. it is also possible to save  . detailed trouble description 1. create a ps base. 2. add on  aggregated charges strategy and do not select a periodic counter in the calculated from dropdown.  here is the problem. the add button is available from the gui. which allows to add more rules. this must not be possible.    . workaround and recovery
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,    - this pr ensures that pt run does not deny uwp apps from being built in visual studio- there was another issue which had to be   to be able to reproduce the above error as we have added the package wrapper for uwp applications the exceptions are being thrown in the constructor and not all of them were being handled there one such exception  that was being thrown was the `argument exception` ( once the argument exception was handled this error was reproducable while building uwp apps![image]( other than the issue solved is this relevant to any other issues/existing prs? -->        5108 #4956*      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #     - an `argument exception` was being thrown when when `packageinstalledlocationpath` was being accessed it threw a value is not found in the expected range exception - that exception is not of type `argumentnullexception` or `argumentoutofrangeexception` so other than catching the exception no other check could be performed- while reading the app manifest file it was being read with `deny_write` stgm constant which prevented any other process from modifying it this was causing all the appxmanifestxml files to be locked by powertoys run changing it to `deny_none` fixed this issue ref -  we will not face an issue where we would try to read an incompletely installed packaged app because we proceed only if the installation is complete (using argsiscomplete)- there was a similar issue while loading the img icon into a bitmap image format once the image was loaded it could not be deleted throwing this error - ![image]( to fix this instead of passing the uri directly passing the file as a memory stream fixed the issue ref -  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   - manually validated that none of those errors are hit while building uwp apps    - this pr ensures that pt run does not deny uwp apps from being built in visual studio. - there was another issue which had to be  to be able to reproduce the above error. as we have added the package wrapper for uwp applications  the exceptions are being thrown in the constructor and not all of them were being handled there. one such exception  that was being thrown was the  argument exception . ( - once the argument exception was handled  this error was reproducable while building uwp apps. ![image](         5108  #4956 . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #     - an  argument exception  was being thrown when when  package.installedlocation.path  was being accessed. it threw a value is not found in the expected range exception.  - that exception is not of type  argumentnullexception  or  argumentoutofrangeexception  so other than catching the exception  no other check could be performed. - while reading the app manifest file  it was being read with  deny_write  stgm constant which prevented any other process from modifying it. this was causing all the appxmanifest.xml files to be locked by powertoys run. changing it to  deny_none  fixed this issue. ref -  we will not face an issue where we would try to read an incompletely installed packaged app because we proceed only if the installation is complete (using args.iscomplete). - there was a similar issue while loading the img icon into a bitmap image format. once the image was loaded it could not be deleted  throwing this error -  ![image]( - to fix this  instead of passing the uri directly  passing the file as a memory stream fixed the issue. ref -      - manually validated that none of those errors are hit while building uwp apps.
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there-->5661<!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> 333. : 47](   5661.       -     . -   -   -   -   -   () -  [](   .
1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,2109 ctrl-s doesnt trigger parsing error messageproblem: conflict of local shortcut (of the entry editor) with the global shortcutsolution: local shortcut removed (the action assigned to local and global shortcut is essentially the same (save database))-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`? 2109. ctrl-s doesn t trigger parsing error message. problem: conflict of local shortcut (of the entry editor) with the global shortcut. solution: local shortcut removed. (the action assigned to local and global shortcut is essentially the same (save database)) -   -   -   () -  -   ( []( -  if you changed the localization: did you run  gradle ate ?
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   _ ?_this pr fixes some incorrect results and exceptions being thrown by the calculator plugin which might be slowing down pt run     7437*      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #    ?_the following changes have been made in this pr - 1 following the refactoring of the calculator plugin the searched which resulted in 0 as the result were not working as there was no difference between a default result returned when the input was not valid and a valid input resulting in 0 as the answer the `validresult` field has been added to distinguish a valid result from a default result null couldnt be returned because calculateresult is a non-nullable typeeg: 1-12 exceptions were being thrown when the user query is not complete as the queryhelper thinks that the query is valid but the interpreter doesnt eg: sin 1+2+3 when a string corresponding to a function is the user query an exception is thrown because it is not a valid interpreter inputeg: say hypothetically were seraching for some app named logo then on entering `log` the calculator plugin would be invoked as there is a match with the regex however it is not a valid input to the interpreter4 there were some functions such as bin2dec hex2dec eigval etc which are not valid inputs to the magesinterpreter function hence it has been removed otherwise the calculator helper would think that these inputs are valid as they match the regex but the magesinterpreter function would throw an exception as they are not valid mathematical oparations according to itthe ideal way to capture a valid input would be using a bnf for a mathematical operation but that cannot be captured in a regex    _ ?_added testsmanually validated it    _?_  this pr fixes some incorrect results and exceptions being thrown by the calculator plugin which might be slowing down pt run.    7437 . if not  go over [here](    . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #   info on pull request  __  the following changes have been made in this pr -  1. following the refactoring of the calculator plugin  the searched which resulted in 0 as the result were not working as there was no difference between a default result returned when the input was not valid and a valid input resulting in 0 as the answer.  the  validresult  field has been added to distinguish a valid result from a default result. null couldn t be returned because calculateresult is a non-nullable type. eg: 1-1. 2. exceptions were being thrown when the user query is not complete  as the queryhelper thinks that the query is valid but the interpreter doesn t.  eg: sin  1+2+ 3. when a string corresponding to a function is the user query an exception is thrown because it is not a valid interpreter input. eg: say hypothetically we re seraching for some app named logo  then on entering  log  the calculator plugin would be invoked as there is a match with the regex  however  it is not a valid input to the interpreter. 4. there were some functions such as bin2dec  hex2dec  eigval  etc which are not valid inputs to the mages.interpreter function. hence it has been removed. otherwise  the calculator helper would think that these inputs are valid as they match the regex but the mages.interpreter function would throw an exception as they are not valid mathematical oparations according to it.  the ideal way to capture a valid input would be using a bnf for a mathematical operation but that cannot be captured in a regex.      _?_  added tests. manually validated it
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,   trouble summary when cpm contract specs are migrated into rmca the are not visible in the list page. even after the migration is succesful. . detailed trouble description the entities with null payment context are not listed in the contract specification list page . workaround and recovery the entities are filtered out based n paymentcontext and the payment context is null.
1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,5327 the problem was that `gettreetablerowgetitem()` in `viewmodeltreetablecellfactory` still returned the old item (and not the new one passed as method argument to `updateitem`) since i was already looking at the code this pr also fixes #3112 that improves the coloring after an entry was added to the group also fixes #2857 (at least i couldnt replicate it anymore)        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) 5327. the problem was that  gettreetablerow.getitem()  in  viewmodeltreetablecellfactory  still returned the old item (and not the new one passed as method argument to  updateitem ).   since i was already looking at the code  this pr also fixes #3112 that improves the coloring after an entry was added to the group. also fixes #2857 (at least i couldn t replicate it anymore).           ( (         ----  -   -   -  -   () -  ( -   ( []()?)
1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,   trouble summary the propose is to change the realtiontype between contract specification (cs) and tax exemption specification (tes) from design to optional_contains. . detailed trouble description in buc ft34-164:1 we are doing a catch up for dlib functionality related to postpaid functionality. and  it includes three bucs in total (ft34-164:1  ft28-6:4 and 121b-10:2). upon looking at the 121b-10:2 solution it was found that the relationtype between cs and tes is wrong. the reason is that design is an internal relationaltype in rmca which should only be used when there is no tpg that must implement any particular business logic based on the realational type. but  as dlib is a tpg that is basing its provisioning logic on the relationaltype  the design definition is the wrong relation to use. instead  the optional_contains relationship is the relationship that should be used.  optional_contains is defined as - create an instance of the target entity that is being pointed to by the relation if provided explicitly in the request.  for example  given a contract specification a with a relation (optional_contains) to a tax exemption specification b then: -if a contract is provisioned (request) without including the tax exemption  no tax exemption instance will not be created in cpm. -if a contract is provisioned (request) including the tax exemption  tax exemption instance will be created in cpm.  this has already been discussed with the buc author guruvansh singh and the tpgs that was impacted in 121b-10:2.  for more information see the e-mail attachment below.  a child trouble report must be created on rmca product revision: cnx 901 3404/3 r12a/1 . workaround and recovery
0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,        ( (      because github does not support autolinking there -->fixes 4288]created a formatter to auto trim all kinds of whitespace defined by java-----  change in changelogmd described-  -  manually tested changed features in running jabref-   () _no need_-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)          ( (       fixes 4288] created a formatter to auto trim all kinds of whitespace defined by java ----  -   -   -  -   () _no need_ -  ( -   ( []()?)
1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,fixes: #2208when you delete an entry the focus will no longer jump to the searchbar instead it will select the next entry (also counts for pasting) fixes: #2208  when you delete an entry the focus will no longer jump to the searchbar  instead it will select the next entry (also counts for pasting).
1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,    creation deletion edit custom layouts tests    tests were revealed problems related to issues #1712 #1754       846 *        tests done:- create custom layout    - layout with zones    - layout without zones    - layout with empty name    - name with unicode characters    - several layouts with same names  - edit custom layouts:    - add/remove canvas zones    - move borders of canvas zones    - move splitters of grid zones    - create new splitters    - merge grid zones - delete custom layout   - delete layout and close editor   - delete and add new layout    creation  deletion  edit custom layouts tests      tests were revealed problems related to issues #1712  #1754      846        tests done: - create custom layout     - layout with zones     - layout without zones     - layout with empty name     - name with unicode characters     - several layouts with same names   - edit custom layouts:     - add/remove canvas zones     - move borders of canvas zones     - move splitters of grid zones     - create new splitters     - merge grid zones  - delete custom layout    - delete layout and close editor    - delete and add new layout
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,   trouble summary scenario triggered strategy is not being displayed when activating a ps  in the window that shows all draft sub entities that will be published as a result. . detailed trouble description when creating a scenario triggered specification inside a ps  leaving it as a draft and publishing said ps  it is expected that all underlying draft specifications are shown in a confirmation dialog. for some reason  the scenario triggered spec is not being displayed  even though other types of rule specifications such as refill and service usage (business strategy) are correctly displayed. see enclosures for a screenshot of a ps containing both service usage and scenario triggered strategy and notice how only the service usage is displayed. . workaround and recovery
1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,   trouble summary tag page does not show relation to entities other than po . detailed trouble description see attached doc.   versions installed: name                  version   delta  active --------------------  --------  -----  ------ base-orch             1.8.2            true baseimage-vmdk        2.10.1           true cil                   3.11.2           true cus                   1.38.0           true msv-adm               5.7.1            true msv-auth              5.7.1            true msv-cfg               5.7.1            true msv-idm               5.7.1            true msv-lgm               5.7.1            true msv-suf               5.7.1            true ngee-base             1.8.0            true ngee-karaf            1.7.0            true privacymanagement     1.1.0            true rmbasekarafstateful   2.4.2            true rmbasekarafstateless  2.4.2            true rmca                  24.57.1          true rmca-cus-ui           1.31.4           true rmcaread              24.57.1          true trm                   1.23.2           true trm-cus-ui            1.10.0           true . workaround and recovery
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,   _ ?_this pr fixes a null reference exception which occurs if you try to shift+tab on the launcher window when there are no results/no query     7122 *      (  *   tests passed   _ ?_- validated that exception is not thrown on pressing shift+tab on empty launcher search box- validated that shift+tab works as expected when there are results    _?_ this pr fixes a null reference exception which occurs if you try to shift+tab on the launcher window when there are no results/no query.    7122  . if not  go over [here](  *  tests passed     _?_ - validated that exception is not thrown on pressing shift+tab on empty launcher search box - validated that shift+tab works as expected when there are results
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,        :    :  change shortcut guide settings and verify that changes are populated to the settings file    -     ** #11078-   ** **   -   ** **  -   ** **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (        :   :  change shortcut guide settings and verify that changes are populated to the settings file      -  ** #11078 -  **** i ve discussed this with core contributors in the issue.  -  ****  -  ****  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,   fix un  on pressing `shift`     7636 #750*      (  *      info on pull requestadded key event handlers in `grideditorwindow` and layout windowsafter opening the editor the `grideditorwindow` is activated and catches key events when a user starts to edit the layout a layout window becomes activated without any of these handlers behavior would be broken    edit any layout of the _grid_ type (`columns` `rows` `grid` `priority grid`) hold `shift` and verify that the splitter has changed orientation split layouts and verify that `shift` behavior still works as expected    fix un on pressing  shift .    7636  #750 . if not  go over [here](     info on pull request  added key event handlers in  grideditorwindow  and layout windows. after opening the editor the  grideditorwindow  is activated and catches key events. when a user starts to edit the layout  a layout window becomes activated. without any of these handlers behavior would be broken.      edit any layout of the _grid_ type ( columns    rows    grid    priority grid )  hold  shift   and verify that the splitter has changed orientation. split layouts and verify that  shift  behavior still works as expected.
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,    set window walker overview link and use resource values from `common/versionh`      1745 https://githubcom/microsoft/powertoys/issues/1621    set window walker overview link and use resource values from  common/version.h .     1745 https://github.com/microsoft/powertoys/issues/1621
1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,   trouble summary refill strategies not counted in dashboard statistics and latest config . detailed trouble description create a new refill strategy and save. this should be counted in the business configuration dashboard statistics and listed in the latest configuration list. but this is not working.
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2109 ctrl-s doesnt trigger parsing error messageproblem: conflict of local shortcut (of the entry editor) with the global shortcutsolution: local shortcut removed (the action assigned to local and global shortcut is essentially the same (save database))-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`? 2109. ctrl-s doesn t trigger parsing error message. problem: conflict of local shortcut (of the entry editor) with the global shortcut. solution: local shortcut removed. (the action assigned to local and global shortcut is essentially the same (save database)) -   -   -   () -  -   ( []( -  if you changed the localization: did you run  gradle ate ?
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,      ![glitch]( should not update settings three times when in reality only one property changes  :    :  verify that glitch is gone   -     ** #10498-   ** **   -   ** **  -   ** **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (       ![glitch](  we should not update settings three times when in reality only one property changes.  :   :  verify that glitch is gone.     -  ** #10498 -  **** i ve discussed this with core contributors in the issue.  -  ****  -  ****  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,   fixes a couple of outstanding accessibility issues for settings:#12087#12085#12012#12017#11997#10732#12013   -       #12087 #12085 #12012 #12017 #10732 #11997 #12013-         -        -     **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (      fixes a couple of outstanding accessibility issues for settings:  #12087 #12085 #12012 #12017 #11997 #10732 #12013     -   #12087 #12085 #12012 #12017 #10732 #11997 #12013 -   i ve discussed this with core contributors in the issue.  -    -  **  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,      renamed sys plugin according new naming convention and added to setup  :  - build setup- install- validate pt run working with sys plugin (lock signout )   -       #8807-     **   -   ** **  -   ** **  -   ** **  -   ** **  -   ** **     -       -    (     -    (      (       renamed sys plugin according new naming convention and added to setup.  :  - build setup - install - validate pt run working with sys plugin (lock  signout  ..)     -   #8807 -  ** i ve discussed this with core contributors in the issue.  -  ****  -  ****  -  ****  -  ****  -  ****     -      -  (     -  (     a cla must be signed. if not  go over [here]( .
1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,   trouble summary physical resources missing in statistics (cus dashboard) physical resources missing in export   . detailed trouble description see attached screenshots    . workaround and recovery
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,regarding: #1920 adds an importer for the mods (xml) format the importer is written with a jaxb parserdetails on the format and the newest xml schema can be found [here]( used the newest schema (version 36)-  change in changelogmd described-  -  manually tested changed features in running jabref regarding: #1920   adds an importer for the mods (xml) format. the importer is written with a jaxb parser. details on the format and the newest xml schema can be found [here]( i ve used the newest schema (version 3.6). -   -   -  manually tested changed features in running jabref
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,4474        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) 4474           ( (         ----  -   -   -  -   () -  ( -   ( []()?)
1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,   trouble summary duplicate of balance transfer strategy becomes regular usage . detailed trouble description open a published balance transfer (or possible refund) strategy and duplicate it will now show regular usage . workaround and recovery
0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,    - added viewmodel implementation of the fancyzones settings- move text in xaml to a localized string resource- added flag to disable ui controls when the powertoy is disableddemo:  other than the issue solved is this relevant to any other issues/existing prs? -->        889 #2127*      (  *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  : #889 #2127        - verified changes in the json settings file and the ui itself    - added viewmodel implementation of the fancyzones settings. - move text in xaml to a localized string resource. - added flag to disable ui controls when the powertoy is disabled.  demo:          889  #2127 . if not  go over [here](   . if not checked  i m ready to accept this work might be rejected in favor of a different grand plan. : #889  #2127         - verified changes in the json settings file and the ui itself.
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,    this pr fixes the default window size to scale with dpi the code is reused from the common library which allows you to convert the width/height in pixels based on the current dpi      2872 (closes #2872 )*      (      opened the kbm window with default scaling and increased windows scaling  screenshotsthe default size should support adding 4 keys/shortcuts in terms oh height and width should be enough to see all text in a single line and for shortcuts 3->3 should be completely visible along with some arrow and delete button spacingremap keyboard ( shortcuts![image](https://user-images entcom/32061677/81714525-01545f80-942c-11ea-8c68-9707a85af1c8png)    this pr fixes the default window size to scale with dpi. the code is reused from the common library which allows you to convert the width/height in pixels based on the current dpi.     2872 (closes #2872 ) . if not  go over [here](      opened the kbm window with default scaling and increased windows scaling.   screenshots the default size should support adding 4 keys/shortcuts in terms oh height and width should be enough to see all text in a single line and for shortcuts 3->3 should be completely visible along with some arrow and delete button spacing remap keyboard (  remap shortcuts  ![image](https://user-images.ent.com/32061677/81714525-01545f80-942c-11ea-8c68-9707a85af1c8.png)
