Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
1,0,0,0,1,1,0,0,add stubbinglookupevent and notifier a part of
1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener
1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener
1,0,0,0,1,1,0,0,prevent premature garbage collection of mock objects
1,0,0,0,1,1,0,0,issue with leftover state when stubbing with bad throwables
0,0,0,0,0,1,0,0,minimal test to repro generic issue with smart nulls
0,0,0,0,0,0,0,0,verifyerror when junit is in the classpath
0,0,0,0,1,1,1,0,fix bug cce on smart not null answers
1,0,0,0,1,1,1,0,refactoring naming rule for sealed packages to better work with the java module system
1,1,1,1,1,1,1,0,where multipleparentclassloader lacks of classloaders of superclasses
1,0,0,1,1,0,0,0,remove unnecessary loop from injectingannotationengine
0,0,0,0,0,1,0,0,outer class mocks unavailable from inner class
1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1,1,0,1,1,1,1,0,handle terminal type var with bounds
0,0,0,0,1,1,0,0,verificationcollector to handle non matching args and other assertions
1,0,0,1,1,0,1,0,new public api invocationgetargumentsasmatchers
1,1,0,1,1,1,0,0,improved ide experience for junit visual comparison failure
0,0,0,0,1,1,0,0,report initialization failures per test method
1,0,1,0,1,0,0,0,make mockitonotextensible service loadable
1,0,0,1,1,1,0,0,show multiple invocations on argumentsaredifferent
1,0,0,1,1,1,0,0,rename toolittleactualinvocations
1,0,0,0,0,1,0,0,replaces objenesis references from stubbing classes with plugin equivalents
1,1,0,1,1,1,0,1,configure the methodvisitor for java compatibility
0,0,0,0,0,0,0,0,change implementation of exceptionfactory to explicitly test for dependent classes
1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock
1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock
1,1,0,0,1,1,0,0,clarify default answer in
1,1,0,0,1,1,0,0,minor bug fixes
1,1,0,0,1,1,0,0,minor bug fixes
1,0,0,1,1,1,1,0,method generictypeextractorfindgenericinterface always …
0,0,0,0,1,1,0,0,clarify default strict stubbing behaviour in
1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak
1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak
1,0,0,1,1,1,0,0,junit jupiter parallel issue
1,1,0,0,1,1,0,0,fix typo in the wiki link
0,0,0,0,0,1,0,0,revert remove unnecessary loop from injectingannotationengine
1,1,0,1,1,0,1,0,upgrade byte buddy to from
1,1,0,0,1,1,0,0,add duration overloads
0,0,0,0,1,1,0,0,guard against multiple evaluations of before statement
1,0,0,1,1,1,0,0,undetected unused stubbing when matching previous stubbed call
1,0,0,1,1,1,1,0,performance optimization by using methodgetparametercount where possible
1,0,0,0,1,1,1,0,basic test suite for osgi framework
1,0,0,0,1,1,1,0,basic test suite for osgi framework
1,0,0,1,0,1,0,0,allow mockitosettings to be inherited
1,0,0,1,1,1,1,0,revert undetected unused stubbing when matching previous stubbed call
0,0,0,0,0,0,0,0,fix unnecessarystubbingexception javadoc
1,0,0,0,1,1,1,0,fix mocks throwing same instance with throwable class
1,0,0,0,0,1,0,0,checkstyle error on windows
1,0,0,0,1,0,0,0,update description of argumentmatcher javadoc
1,0,0,0,0,1,1,0,fix pattern matcher not matching to subregion
1,0,0,0,0,1,1,0,fix pattern matcher not matching to subregion
1,1,1,0,1,1,1,0,return mock name from tostring method for deep stub mocks
1,1,1,0,1,1,1,0,return mock name from tostring method for deep stub mocks
1,0,0,0,1,1,0,0,prepend description to assertionerror thrown in verification
1,1,0,1,1,1,0,0,correctly handle mocks with limited life cycle in listeners
1,0,0,1,1,1,0,0,do not pass static mocks to regular listener callback
1,1,0,1,1,1,0,0,only enable mocking of types right before instantiation to avoid circular interception of constructor creation
1,1,0,1,1,1,0,0,only enable mocking of types right before instantiation to avoid circular interception of constructor creation
1,1,0,1,1,1,0,1,initializes classes prior to instrumentation to avoid uncontrolled code execution
1,1,0,1,1,1,1,0,escape mock during method dispatch on mock to avoid premature garbage collection
1,1,0,1,1,1,1,0,mock resolver plugin
1,1,0,1,1,1,1,1,do not exclude synthetic constructors from instrumentation
1,0,0,1,1,1,0,0,argumentmatcher error messages use lambda class names
1,1,1,1,1,1,1,0,bump versionserrorprone from to
1,1,1,1,1,1,1,0,bump versionserrorprone from to
1,1,1,1,1,1,1,0,bump versionserrorprone from to
0,0,0,0,1,1,0,0,fix reversed order of verify parameters
0,0,0,0,1,1,0,0,javalangobject is now instrumented again
1,0,0,0,1,1,0,0,bugfix verify on a wrapped mock fails
1,0,0,1,1,1,0,0,but invoked here lists the invocation parameters
0,0,0,0,0,1,0,0,make exceptions for inorderverify more standard spec…
1,1,0,1,1,1,1,0,include cause when fieldreader fails to access field
0,0,0,0,1,1,0,0,add missing parenthesis to javadoc example
1,0,0,1,1,1,0,0,bump versionserrorprone from to
1,0,0,1,1,1,0,0,bump versionserrorprone from to
1,0,0,1,1,1,0,0,bump versionserrorprone from to
1,0,0,1,1,1,0,0,bump versionserrorprone from to
1,1,1,1,1,1,1,0,use the parent classloader if the context classloader is a child of it
0,0,0,1,0,1,1,0,undo parent for multipleparentsclassloader
