prNumber,APM,Interpreter,Logging,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,corpus
1583,0,0,0,0,0,0,0,0,0,1,0,0,1,remove failing svg preview handler unit tests in ci
1589,0,0,0,0,0,1,0,0,0,0,0,0,0,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,1,0,0,0,0,1,1,0,0,1,1,0,1,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,0,0,0,0,0,1,0,0,0,0,0,0,0,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,0,0,0,0,0,1,0,0,0,0,0,0,0,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,0,0,0,0,0,1,0,0,0,0,0,0,0,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,1,0,0,0,0,1,0,0,0,1,1,0,1,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,0,0,0,0,0,1,0,0,0,0,0,0,0,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1589,0,0,1,0,0,0,0,0,0,0,0,0,1,shortcuts guide powerrename imageresizer and powerlauncher settings pages
1597,1,0,0,0,0,1,0,0,0,1,1,0,1,added ipc wrapper for c#
1597,0,0,0,0,0,0,0,0,0,0,0,0,1,added ipc wrapper for c#
1610,0,0,0,0,0,1,0,0,0,0,0,0,0,implement canceling edits in fze fix crashes related to canceling
1610,1,0,0,0,0,1,0,0,0,1,1,0,1,implement canceling edits in fze fix crashes related to canceling
1610,0,0,0,0,0,1,0,0,0,0,0,0,0,implement canceling edits in fze fix crashes related to canceling
1610,0,0,0,0,0,1,0,0,0,0,0,0,0,implement canceling edits in fze fix crashes related to canceling
1620,0,0,0,0,0,0,0,0,0,0,0,0,0,add info bar if blocked elements present in svg
1620,0,0,0,0,0,1,0,0,0,0,0,0,0,add info bar if blocked elements present in svg
1633,0,0,0,0,0,0,0,0,0,0,1,1,1,editor opening tests
1633,0,0,0,0,0,1,0,0,0,0,0,0,0,editor opening tests
1639,0,0,0,0,0,0,0,0,0,0,1,1,1,editor templates tests
1639,0,0,0,1,0,0,0,0,0,1,0,0,0,editor templates tests
1645,0,0,0,0,0,0,0,0,0,0,1,1,1,editor settings test
1645,0,0,0,0,0,0,0,0,0,0,0,0,1,editor settings test
1648,0,0,0,0,0,0,0,0,0,0,0,1,1,editor tests: apply templates
1648,1,0,0,0,0,1,1,1,0,1,1,0,1,editor tests: apply templates
1667,0,0,0,0,0,0,0,0,0,0,1,1,1,editor templates tests update
1667,1,0,0,0,0,1,1,1,0,1,1,0,1,editor templates tests update
1670,0,0,0,0,0,1,0,0,0,0,0,0,0,use jsonserializer instead of utf8writer
1670,0,0,0,0,0,0,0,0,0,1,0,0,1,use jsonserializer instead of utf8writer
1682,0,0,0,0,0,0,0,0,0,0,1,1,1,tests: editor settings tests
1682,0,0,0,1,0,0,0,0,0,1,0,0,0,tests: editor settings tests
1695,0,0,0,0,0,0,0,0,0,0,1,0,1,display infobar for blocked relative image path
1695,1,0,0,0,0,1,1,1,0,1,1,0,1,display infobar for blocked relative image path
1702,0,0,0,0,0,0,0,0,0,0,1,0,0,setting v2: added power preview settings
1702,1,0,0,0,0,1,0,0,0,1,1,0,1,setting v2: added power preview settings
1726,1,0,0,0,0,1,0,0,0,1,1,0,1,fancyzones editor display zone numbers & powerrename fix
1726,1,0,0,0,0,1,1,1,0,1,1,0,1,fancyzones editor display zone numbers & powerrename fix
1726,1,0,0,0,0,1,0,0,0,1,1,0,1,fancyzones editor display zone numbers & powerrename fix
1726,1,0,0,0,0,1,0,1,0,1,1,0,1,fancyzones editor display zone numbers & powerrename fix
1729,0,0,0,0,0,1,0,1,0,1,1,0,1,prevent window walker from having multiple running instances
1729,0,0,0,0,0,0,0,0,0,0,0,0,1,prevent window walker from having multiple running instances
1734,1,0,0,0,0,1,0,0,0,1,1,0,1,fixed some recent compiler warnings
1734,0,0,0,0,0,0,0,0,0,0,0,0,1,fixed some recent compiler warnings
1735,0,0,0,0,0,0,0,0,0,0,1,0,0,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,0,0,0,1,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,0,1,0,0,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,0,0,0,1,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,0,1,0,0,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,1,0,0,1,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,0,0,0,0,0,1,0,0,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1735,0,0,0,0,0,1,0,0,0,0,0,0,0,improvements to settings shellpage and added new xaml layouts for powerrename shortcut guide powerlauncher
1757,0,0,0,0,0,0,0,0,0,0,1,1,1,editor custom layouts tests
1757,0,0,0,0,0,0,0,0,0,1,0,0,1,editor custom layouts tests
1757,0,0,0,0,0,0,0,0,0,0,1,1,1,editor custom layouts tests
1757,0,0,0,0,0,1,0,0,0,1,1,0,1,editor custom layouts tests
1757,0,0,0,0,0,0,0,0,0,0,1,1,1,editor custom layouts tests
1757,0,0,0,1,0,0,0,0,0,1,0,0,0,editor custom layouts tests
1772,1,0,0,0,0,1,0,1,0,1,1,0,1,set window walker overview link
1772,1,0,0,0,0,1,1,1,0,1,1,0,1,set window walker overview link
1778,0,0,0,0,0,0,0,0,0,0,0,0,0,fz - styling updates to gridzone and canvaszone controls so they look more fluent
1778,0,0,0,0,0,1,0,0,0,0,0,0,0,fz - styling updates to gridzone and canvaszone controls so they look more fluent
1792,0,0,0,0,0,0,0,0,0,0,1,0,0,settings v2: new fancyzones imageresizer xaml sidepanels are now in the settings pages for more flexibility
1792,0,0,0,0,1,1,0,0,0,0,0,0,0,settings v2: new fancyzones imageresizer xaml sidepanels are now in the settings pages for more flexibility
1792,0,0,0,0,0,0,0,0,0,0,1,0,0,settings v2: new fancyzones imageresizer xaml sidepanels are now in the settings pages for more flexibility
1792,1,0,0,0,0,1,0,1,0,1,1,0,1,settings v2: new fancyzones imageresizer xaml sidepanels are now in the settings pages for more flexibility
1793,0,0,0,0,0,0,0,0,0,0,1,1,1,tests updates
1793,0,0,0,0,0,0,0,1,0,1,1,0,1,tests updates
1813,0,0,0,0,0,0,0,0,0,1,1,0,1,user/lamotile/add powerrename settings
1813,0,0,0,0,0,0,0,0,0,0,0,0,1,user/lamotile/add powerrename settings
1814,1,0,0,0,0,1,0,1,0,1,1,0,1,[window walker] enable tabbing to scroll
1814,0,0,0,0,0,0,0,0,0,1,0,0,1,[window walker] enable tabbing to scroll
1858,0,0,0,0,0,1,0,0,0,0,0,0,0,[window walker] handle uwp process names
1858,0,0,0,0,1,1,0,0,0,0,0,0,0,[window walker] handle uwp process names
1859,1,0,0,0,0,1,0,1,0,1,1,0,1,[window walker] set focus on text box control on hotkey invoke
1859,0,0,0,0,0,1,0,0,0,0,0,0,0,[window walker] set focus on text box control on hotkey invoke
1933,0,0,0,0,0,0,0,0,0,1,1,0,1,added stylecop
1933,0,0,0,0,0,0,0,1,0,1,1,0,1,added stylecop
1956,0,0,0,0,0,1,0,0,0,0,0,0,0,better app listing like alt-tab supports uwp apps and hidden apps running including in another virtual desktops
1956,0,0,0,0,0,0,0,0,0,1,1,0,1,better app listing like alt-tab supports uwp apps and hidden apps running including in another virtual desktops
2006,0,0,0,0,0,0,0,0,0,0,1,0,1,winappdriver tests fix
2006,1,0,0,0,0,1,1,1,0,1,1,0,1,winappdriver tests fix
2014,0,0,0,0,0,1,0,0,0,0,0,0,0,fixing a bunch of warnings from window walker
2014,0,0,0,0,0,1,0,0,0,0,0,0,0,fixing a bunch of warnings from window walker
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,fz editor: splitter thickness set to 1px when space around zones is zero
2020,0,0,0,0,0,0,0,0,0,1,0,0,1,fz editor: splitter thickness set to 1px when space around zones is zero
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,chore: fix remaining warnings
2073,0,0,0,0,0,0,0,1,0,1,1,0,1,chore: fix remaining warnings
2093,0,0,0,0,0,1,0,0,0,1,1,0,1,[window walker] migrate to launcher
2093,0,0,0,0,0,0,0,0,0,0,0,0,1,[window walker] migrate to launcher
2099,0,0,0,0,0,0,0,0,0,0,1,0,0,move markdown parsing logic outside control thread
2099,1,0,0,0,0,1,0,1,0,1,1,0,1,move markdown parsing logic outside control thread
2133,1,0,0,0,0,1,0,1,0,1,1,0,1,removing everything references
2133,0,0,0,1,0,0,0,0,0,1,0,0,0,removing everything references
2144,0,0,0,0,0,1,0,1,0,1,1,0,1,set mainwindow visibility to hidden on startup
2144,0,0,1,0,0,0,0,0,0,0,0,0,1,set mainwindow visibility to hidden on startup
2153,0,0,0,0,0,0,0,0,0,1,0,0,1,take subset of pr 2115 for issues 2042 2039
2153,1,0,0,0,0,1,1,1,0,1,1,0,1,take subset of pr 2115 for issues 2042 2039
2153,0,0,0,0,0,0,0,0,0,1,0,0,1,take subset of pr 2115 for issues 2042 2039
2153,0,0,0,0,0,1,0,0,0,0,0,0,0,take subset of pr 2115 for issues 2042 2039
2153,0,0,0,0,0,0,0,0,0,1,0,0,1,take subset of pr 2115 for issues 2042 2039
2153,0,0,0,0,0,0,0,1,0,1,1,0,1,take subset of pr 2115 for issues 2042 2039
2158,0,0,0,0,0,1,0,0,0,0,0,0,0,fz editor: splitted zones positioning
2158,1,0,0,0,0,1,1,1,0,1,1,0,1,fz editor: splitted zones positioning
2161,0,0,0,0,0,0,0,0,0,0,1,0,0,added fancy zones settings
2161,1,0,0,0,0,1,1,1,0,1,1,0,1,added fancy zones settings
2161,0,0,0,0,0,0,0,0,0,0,1,0,0,added fancy zones settings
2161,1,0,0,0,0,1,0,1,0,1,1,0,1,added fancy zones settings
2179,0,0,0,0,0,0,0,0,0,0,1,1,1,keyboard manager ui tweaks (dev/build-features)
2179,1,0,0,0,0,1,1,1,0,1,1,0,1,keyboard manager ui tweaks (dev/build-features)
2179,0,0,0,0,0,0,0,0,0,0,1,1,1,keyboard manager ui tweaks (dev/build-features)
2179,0,0,0,0,0,0,0,0,0,1,0,0,1,keyboard manager ui tweaks (dev/build-features)
2179,0,0,0,0,0,0,0,0,0,0,1,1,1,keyboard manager ui tweaks (dev/build-features)
2179,0,0,0,0,0,1,0,0,0,0,0,0,0,keyboard manager ui tweaks (dev/build-features)
2192,1,0,0,0,0,1,0,1,0,1,1,0,1,remove autosuggest box
2192,1,0,0,0,0,1,1,1,0,1,1,0,1,remove autosuggest box
2220,1,0,0,0,0,0,0,0,0,1,1,0,1,fixed kbm interaction with shortcut guide (dev/build-features)
2235,1,0,0,0,0,1,0,1,0,1,1,0,1,launcher light/dark mode
2237,1,0,0,0,0,0,0,0,0,1,1,0,1,move kbm warnings at apply to flyouts
2247,0,0,0,0,0,0,0,0,0,0,1,0,0,added shortcut guide settings
2248,0,0,0,0,0,0,0,0,0,1,1,0,1,deprecate atl based ipc wrapper library
2250,0,0,0,0,0,1,0,0,0,1,1,0,1,win+r shouldnt launch windowwalker
2272,0,0,0,0,0,0,0,0,0,0,0,0,0,fixed the selection highlight not visible issue
2276,0,0,0,0,0,0,0,0,0,0,1,0,1,powerlaunchersettings unit tests
2292,1,0,0,0,0,1,0,0,0,1,1,0,1,removed folder plugin
2299,0,0,0,0,0,0,0,0,0,0,1,0,0,update the kbm ui to use a grid based layout rather than stack panels
2299,0,0,0,0,0,0,0,0,0,0,1,0,0,update the kbm ui to use a grid based layout rather than stack panels
2308,0,0,0,0,0,0,0,0,0,0,1,0,0,add support for common win key in kbm
2314,0,0,0,0,0,0,0,0,0,0,1,0,0,display key mappings in settings
2314,0,0,0,0,0,0,0,0,0,0,1,0,0,display key mappings in settings
2315,1,0,0,0,0,1,0,1,0,1,1,0,1,select text whenever launcher is set to visible after being hidden
2324,0,0,0,0,0,0,0,0,0,0,1,0,1,added image resizer settings
2324,0,0,0,0,0,0,0,0,0,0,1,0,1,added image resizer settings
2341,0,0,0,0,0,1,0,0,0,1,1,0,1,making shell plugin behave more like win+r
2345,0,0,0,0,0,0,0,0,0,0,1,0,0,merge powerlauncher branch
2361,0,0,0,0,0,0,0,0,0,0,0,0,0,modify scoring algorithm for fuzzy search
2368,0,0,0,0,0,1,0,0,0,1,1,0,1,fix for 2363 - adding folder plugin back in and modifying text
2370,0,0,0,0,0,0,0,0,0,1,1,0,1,push program execution to background thread
2370,0,0,0,0,0,0,0,0,0,1,1,0,1,push program execution to background thread
2372,1,0,0,0,0,1,0,1,0,1,1,0,1,folder plugin
2380,1,0,0,0,0,1,0,1,0,1,1,0,1,fixes cursor jumping around issue
2381,1,0,0,0,0,1,0,0,0,1,1,0,1,disabling winr
2385,1,0,0,0,0,1,0,1,0,1,1,0,1,fix dll loading at runtime
2392,0,0,0,0,0,0,0,0,0,1,1,0,1,issue 2383 update folder and selection behavior
2404,0,0,0,0,0,1,0,0,0,1,1,0,1,reindex uwp apps when apps are installed or uninstalled
2411,0,0,0,0,0,0,0,0,0,0,1,0,1,fix: start as admin error: unable to open app when running elevated
2446,1,0,0,0,0,1,0,1,0,1,1,1,1,[launcher] location and multi monitor support
2477,1,0,0,0,0,1,0,1,0,1,1,0,1,[launcher] fluent ux enhancements
2477,1,0,0,0,0,1,0,1,0,1,1,0,1,[launcher] fluent ux enhancements
2477,1,0,0,0,0,1,0,1,0,1,1,0,1,[launcher] fluent ux enhancements
2593,0,0,0,0,0,1,0,0,0,1,1,0,1,updated file path/description of plugins
2598,1,0,0,0,0,0,0,0,0,1,1,0,1,making teams launch not updater  this will also fix a lot of cmd st…
2601,1,0,0,0,0,0,0,0,0,1,1,0,1,[settings] update version in general settings
2607,1,0,0,0,0,1,0,1,0,1,1,0,1,poweranme tests
2653,0,0,0,0,0,0,0,0,0,0,1,0,0,user/ryanbod/issue 2450 remove user facing file paths
2664,1,0,0,0,0,1,0,1,0,1,1,0,1,remove ww module
2673,1,0,0,0,0,1,0,0,0,1,1,0,1,handle file path similar to run
2676,1,0,0,0,0,1,0,1,0,1,1,0,1,[settings ui] updated general settings
2679,0,0,0,0,0,0,0,0,0,0,0,0,0,[fancyzoneseditor] make transforming struct field names to dash case region invariant
2696,0,0,0,0,0,0,0,0,0,0,0,0,0,user/ryanbod/issue 2060 telemetry for build features
2700,0,0,0,0,0,1,0,0,0,1,1,0,1,[settings v2] ux tweaks
2700,0,0,0,0,0,1,0,0,0,1,1,0,1,[settings v2] ux tweaks
2700,0,0,0,0,0,1,0,0,0,1,1,0,1,[settings v2] ux tweaks
2702,0,0,0,0,0,1,0,0,0,1,1,0,1,fix for indexer symbol error
2717,0,0,0,0,0,0,0,0,0,0,1,1,1,option to disable zones activation by mouse
2759,0,0,0,0,0,0,0,0,0,0,1,0,0,fix double compile issue for launcher and settings
2776,0,0,0,0,0,0,0,0,0,0,1,0,0,fancy zones settings - color pickers saved argb value fix (now saves rgb)
2785,0,0,0,0,0,0,0,0,0,0,1,0,0,[settings v2] fancyzones settings checkboxes update
2786,0,0,0,0,0,0,0,0,0,0,1,0,1,[settings v2] upated fancy zone and shortcut guid default values
2786,0,0,0,0,0,0,0,0,0,0,1,0,1,[settings v2] upated fancy zone and shortcut guid default values
2796,0,0,0,0,0,0,0,0,0,0,1,0,1,powerrename settings bugfix
2798,1,0,0,0,0,1,0,1,0,1,1,0,1,kbm - ui tweaks
2798,1,0,0,0,0,1,0,1,0,1,1,0,1,kbm - ui tweaks
2798,1,0,0,0,0,1,0,1,0,1,1,0,1,kbm - ui tweaks
2798,1,0,0,0,0,1,0,1,0,1,1,0,1,kbm - ui tweaks
2798,1,0,0,0,0,1,0,1,0,1,1,0,1,kbm - ui tweaks
2812,0,0,0,0,0,0,0,0,0,0,0,0,1,add support for win32 packaged apps to run as admin
2814,0,0,0,0,0,0,0,0,0,0,1,0,0,adding telemetry events for svg and markdown enable/disable
2814,0,0,0,0,0,0,0,0,0,0,1,0,0,adding telemetry events for svg and markdown enable/disable
2816,0,0,0,0,0,1,0,1,0,1,1,0,1,change warnings from icon to flyouts but it no longer interrupts searching
2816,0,0,0,0,0,1,0,1,0,1,1,0,1,change warnings from icon to flyouts but it no longer interrupts searching
2868,1,0,0,0,0,0,0,0,0,1,1,0,1,[settings] add image resizer settings hyperlink on feature detection of older os versions
2873,1,0,0,0,0,0,0,0,0,1,1,0,1,fixed kbm default window size not being dpi aware
2879,1,0,0,0,0,0,0,0,0,0,0,0,0,adding privacy event tags to each telemetry event
