Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,always trim fields on save and remove trimformatter the consensus in was that fields should always be written without leading or trailing whitespace this is done in this pr and the trimformatter is removed by the way empty fields are never written as one of the added tests shows change in changelogmd described lgtm
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,implemented added a button that can be used to determine if the search results should be updated on every pressed key or on enter only based on the suggestion in two issues select a good icon the current one is quite intuitive if it wasnt for the fact that the symbol is rarely used for selecting a state when using autocompleting and search on enter enter needs to be pressed twice once to select the completing once to search searchontype will be available at in minutes or so change in changelogmd described i dont like the boolean parameter to much i would prefer if the performsearch method is not changed but a second method performlivesearch including the check is introduced otherwise good job i do not know why i so rarely use overloading which this is a sort of i changed now performsearch and performsearchiflive changed to the sync icon not sure why eclipse formats the icontheme file as it does but i cannot get around it newsearch found auto renew so changed to that basically a mirrored version of sync so clockwise arrows hm idea what about issuing the search request only after ms of nothing happened in the text field this would require less icons and less buttons the user has to interact and understand and could provide similar results what do you think oscargus i see your point regarding the number of buttons but then it seems like one either has a small enough database and then it is probably just annoying or you have a big database in which case it might still not solve the issueit seems like this setting and filter float are user preferences rather than search preferences in the sense that you wont change this depending on your current search as opposed to regex and case maybe one should tuck the user preferences away as they are more rarely changed i mean you would like to have live search by default but be able to disable it if required i can also imagine that some people want to get rid of autocompletion sometimes with that said i havent checked if one can configure it an advanced settings button with pop up menu i am somewhat unsure where we should be heading here i think we should try to reduce the number of preferences the user can input as jabref has so many options it can make it very hard to use if we detect whether the database is small medium or large in size we could adjust the search automatically somehow so it will not update immediatly if there are more than k entries or use a formula which computes the amount to wait between after a search the issue is not the search itself which is done in a separate thread but the update of the ui after the search is done so basically we could try to keep track of the search queries that are currently active through an atomic counter and only update the ui when the counter has reached the value i agree on the preference thing in general still i think this is a rather straightforward setting and more importantly it doesnt really break anything if set the wrong waysomehow these automatic things will always turn out bad for some users and then they cannot change it apart from that i agree that it should be possible to come up with a scheme that is reasonable for most users however im not convinced it is worth the effort compared to the simple and fully waterproof switch to me it can even be hidden in the preferences under a performance tab where that and eg the new cell formatting can be switches off if required all bells and whistles on but can be disabled if performance is sufferingi have some thoughts related to preferences in general and will open an issue any day now hm ok maybe the quickest thing is to add a settings dropdown menu using some kind of wrench or so symbol in the search bar there we can also move the float thing as well oscargus nevertheless i think we should ensure this overlapping of searches does not happen this could maybe help enough already reducing the pain of having a large database without loosing the live feature im with simon here and think a button is not necessary why not just perform a search every time directly after the input changed if the user types quicker then the search is performed then the old search is just aborted and a new one started so for small databases you see a direct consequences for larger ones you get a delayed response the only thing required for this approach is to make sure that an ongoing search does not block inputs in the search fieldgoogle also somehow manages to show live results without a toggle instant search button and i believe their database is bigger than the average bib file smile so the user response in is irrelevantden mar skrev tobias diez notifications githubcom im with simon here and think a button is not necessary why not just perform a search every time directly after the input changed if the user types quicker then the search is performed then the old search is just aborted and a new one started so for small databases you see a direct consequences for larger ones you get a delayed response the only thing required for this approach is to make sure that an ongoing search does not block inputs in the search field google also somehow manages to show live results without an instant search button and i believe their database is bigger than the average bib file image smile — you are receiving this because you were mentioned reply to this email directly or view it on github no of course not but i find the part blocking further typing into the search box the most critical and annoying if the input in the search field is not blocked the user will not notice that we actually search in the background ah ok now i understand your comment sure that would be another way to solve it probably better from many perspectives i tried to implement a settings button and while it works im not really fond of the results ive tried having both one menu item for filter float which is quite unclear and having radio buttons for both options which is better as one can have the full sentence but i think that the additional icon is still the best the whole search bar is quite compact now so i do not think that the previous width problem is relevant also if when live search is removed eg if non overlapping search is implemented and works for entries it will be easier to just remove the button rather than remove the menu etc do you think this is still necessary or this can be closed in favor having a faster overall search no if the search speed has improved as much as it seems i do not think this one is required if it turns out to be it is easy to recover
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,write database type in lower case into the bib file this finally a quick fix has been introduced in eea e but that does not cover the lower case writing of the type comment{jabref meta database_type bibtex} finally gets comment{jabref meta databasetype bibtex} change in changelogmd described this has been introduced in the development versions after the last release thus no entry required tests have been adapted to match this new implementation is the parsing case insensitive is that tested oscargus the value is parsed case insensitive
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,filelist field size now dependent on its content the filelist within the entryeditor now automatically resizes its columns dependent on the length of its content java change in changelogmd described i rearranged the imports a bit using the settings tobiasdiez describes in looks good to me me jabref developers anybody else any comments maybe we could integrate that in v already apart from my comment regarding the changelog this is fine and can be merged moved the changelog entry from fixed to changed
1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,replace normalizenamesformatter by authorlist and so and refs removes comma as delimiter of author names in normalizenamesformatter the problem is that comma separated authors cannot be distingued from one author in bibtex format for example name della first could be three names separated by commas or if interpreted as valid bibtex string it is one author with lastnamename jrpartdella firstnamefirst add colon as delimiter of author names in authorlistparser thanks at all but especially oscargus for creating many tests made implementing this pr way easier change in changelogmd described looks very nice the md thing is a bit challenging and either way we will do it wrong for one of the cases if i were in medicine i would probably prefer not to expand md especially lgtm
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,preview panel is now updated when an entry is cut deleted again when i fixed some time ago pr i made a tiny errorthe issue was to hide the preview panel when deleting cutting an entry but it also hid it when aborting the delete confirmation dialogi too refactored both actions a little to make it easier for future changesi also removed in undoableremoveentry and undoableinsertentry the id generation
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,tried to but all tests pass will merge this in if the tests all pass on the ci server change in changelogmd described
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,add fields for nbibimporter and add testfile regarding medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test testfile for the nbib formata list of the elements that should be imported now can be found here you should also record your changes in the readme lgtm for somehow the travis ci is failing because an integration test scrollingthroughentrylist fails lgtm too just some minor remarks for readability
1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,cleanup guiglobals implements cleans up the guiglobals class and move latexfieldformatter to the bibtex package which is now independent of the gui packageas a final step i would move the class netsfjabrefimporterfileformatfieldcontentparser to the bibtex package which would make the package self contained apart from imports to the preferences and related classes and would move the whole bibtex package into logic are there objections to this i restructured variable positioning as discussed in and turn max_back_history_size line_length and indent into proper preferences jabref developers what about turning the bibtex package into a subpackage of logic or should that rather stay a top level package the more stuff is in the logic package the better ok from side this is good to go i even was able to move some more classes into the model package lgtm lgtm just some minor remarkswhat i do not understand is the purpose of the bibtex package some of the classes seem like they do not have anything to do with writing or parsing bibtex and are rather general for example the comparators maybe it would make sense to completely dissolve the bibtex package by moving the parsing logic to the import package and writing to exportin the end the bibtex format is just a special import export format tobiasdiez thanks for your remarks i will integrate them as wellas for the bibtex package its existence is a historical thing and i do not know the exact motivation behind it seems like bundle parsing and writing of pure bibtex but with the addition of new importers and exporters responsibilities shifted and mixed over time the big advantage we have now is that the package moved to logic which means that there is a guarantee that it is independent of gui code and it can be re used for new gui stuff with relative safety if we move it out of logic to importers or exporters we loose that advantage ultimately the goal should be to get the gui independent code from the import export package into logic as wellout of topic i just noticed the codecov report how the hell did code coverage increase by a wooping with this pr i didnt even write new tests this has to be an error i implemented the above comments and the pr is once again ready to go from my sideone remark col_definition_field_separator cannot go to guiglobals since this would create dependencies from logic to gui therefore i moved it into col_definition_field_separator to globals this is fair i think since the variables relates to our bibtex sytnax and field content which is independent of the guii still don t get how the coverage can have increased that much
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,show description of case converters as tooltip change in changelogmd described lgtm
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,npe when retrieving bibtex data from doi see lgtm
1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,fixed i finally got around to understand the reasons for and parts of it turned out that commands starting with c was handled in a special way and that {\v{s}} was for unknown reasons used as line tabulation setas a result not only does jabref now render \v{s} and \chi correctly it also renders combining accents see screen shot img width altcapture src change in changelogmd described oscargus do the tests from pass in your branch stefan kolb as it was only \chi that was failing i would expect that yes the other two did already work right oscargus it was only the \chi yes because \c is handled as special character if my test from the pr pass we can merge my test pr into your branch and then merge your fix smile in general i would like tests for this pr my pr includes tests for the bug stefan kolb there is a \chi first at the second row of the screen shot turned out all commands starting with c didnt work as c was hardcoded into globals as an accent so \chi was interpreted similar to if it had said {\c{h}}i and since \c{h} wasnt listed it was simply removed now \c{h} works as well giving ḩ tobiasdiez i was considering that however the main feature is adding support for accented unicode characters and they are a hassle to type properly nor will they make much sense except lots of comments for example spot the difference between ä and ä oscargus can you just cherry pick my commit from the pr and you have your first test smile and then just close my pr afterwards i added some tests now stefan kolb im afraid that is a bit out of my comfort knowledge zone my solution would be to almost simultaneously merge both prs oscargus then just copy my tests and close the pr smile stefan kolb that should be within grasp lgtm thanks for the quick solution lgtm lgtm just some minor remarks about naming variables and tests
1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,fixed and some refactoring cleanups fixed and did some refactoring and cleanups change in changelogmd described changes lgtm however the usage of magic numbers for the diff modes should be avoided but this can also be solved in another pr wink just a minor comment otherwise looks goodhave a thought on my suggestion and decide if you want to implement it afterwards rebase and merge matthiasgeiger i agree however i do not really get how to map a jcombobox and an enum new jcombobox enumtypevalues should work
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,fixed this should change in changelogmd described lgtm
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,move preferences moves preferences related classes into a new top level package as outlined in this is a pure refactoring no functional changes it doesnt fix the dependencies on preferences but separates them from the remaining classes in the root packageadditionally the class jabrefpreferencesfilterdialog is moved into the gui package where it belongs this also allows to rename the class and reduce its visibilitycommits can be squashed on merge lgtm
1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,use jabref default icon for uninstaller for now using standard icon for now should be replaced by specific uninstaller icon after redesign lgtm can you add a changelog please then just merge it
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,improved latex to unicode html formatters to output more sensible val… see main thing is that \latex{} outputs latex same for all unknown commands also behaves a bit better for some other situations with unknown commands and there are now tests for it to make sure that it happens change in changelogmd described
1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,rewrite bibtexml importer with jaxb parser regarding ive rewritten the bibtexml importer it was written with a sax parser and ive used a jaxb parser i will be addings some more tests for the changes ive madenote exporting in bibtexml format and then trying to import in bibtexml format is not working because of manually tested changed features in running jabref are there any other remarks travis is failing because of ui tests please not that the ui tests but ignored please read the travis output and check for red lines checkstyle failed your ide settings seem to be non formant please double check error home travis build jabref jabref src main java net sf jabref logic importer fileformat bibtexmlimporterjava netsfjabrefimporterfileformatbibtexmlentry should be separated from previous imports importorder failedfailure build failed with an exception what went wrong execution failed for task checkstylemain checkstyle rule violations were found see the report at file home travis build jabref jabref build reports checkstyle mainhtml try run with stacktrace option to get the stack trace run with info or debug option to get more log outputbuild failedtotal time mins secs
1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,rewrite bibtexml importer with jaxb parser regarding ive rewritten the bibtexml importer it was written with a sax parser and ive used a jaxb parser i will be addings some more tests for the changes ive madenote exporting in bibtexml format and then trying to import in bibtexml format is not working because of manually tested changed features in running jabref are there any other remarks travis is failing because of ui tests please not that the ui tests but ignored please read the travis output and check for red lines checkstyle failed your ide settings seem to be non formant please double check error home travis build jabref jabref src main java net sf jabref logic importer fileformat bibtexmlimporterjava netsfjabrefimporterfileformatbibtexmlentry should be separated from previous imports importorder failedfailure build failed with an exception what went wrong execution failed for task checkstylemain checkstyle rule violations were found see the report at file home travis build jabref jabref build reports checkstyle mainhtml try run with stacktrace option to get the stack trace run with info or debug option to get more log outputbuild failedtotal time mins secs
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,newly opened bib file is not focused open a new file and it is correctly focused afterwards open a file that was already opened before is correctly focused afterwards open a file two times and it is only opened once matthiasgeiger should work now smile lgtm apart from the minor comments via skype wink
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,removed seiten from pagetotal and fixed a totally unrelated npe fixed and an unrelated npe due to bad documentation it says that it can be null but it couldnt and there is a use case where it now is null added tests for the fixed npe change in changelogmd described tests added manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues lgtm
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fixed name column rendering and fixed and better to format the author names before converting latex to unicode bah img width altcapture src change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues good work simple change for fixing two issues at the same time lgtm lgtm please slightly rewrite the tests and then you can merge it
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fixed url field is not removed by integrity check better to disable the check than remove the field from the entry change in changelogmd described one may think of adding a test that no fields are removed from the entry in the integrity check but i havent done that here ideally the entry should have every possible field included manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues lgtm
1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,towards hierarchical keywords this pr is the first step towards supporting hierarchical keywords refactor the keyword related code to use new classes keywordlist and keyword unified keyword delimiter to be a single character and in this way fixed the issues mentioned in and move keyword delimiter from preferences to metadata database properties new pr add hierarchical delimiter and change parsing logic in keywordlist accordingly new pr change ui to support hierarchical keywords new prnote i also moved the stringutil class to model in some sense it is jabrefs own string class and removed entryutil only had methods related to strings stringutil or keywords keywordlist change in changelogmd described manually tested changed features in running jabref helpjabreforg https githubcom jabref helpjabreforg issues
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,disable context menu action on selection of multiple entries if multiple entries are selected some context menu toolbar and menu actions are now disableddisabled actions print entry preview attach file edit entry open folder enable only if file exist open file enable only if file exist open url or doi enable only if url or doi exist merge entries enable only on select of two entries these actions make no sense to be used when there are multiple entries selectedfor further information have a look at context menu before change _ h _ menu after change _ h _ menu before change _ h _ menu after change _ h _ menu before change _ h _ menu after change _ h _ menu before change _ h _ menu after change _ h _ menu before change _ h _ menu after change _ h _ button edit entry before change _ h _ button edit entry after change _ h _ button merge entries before change _ h _ button merge entries after change _ h _ take a look for merge thx 😄 change in changelogmd described manually tested changed features in running jabref internal qs complete to disable menu item toolbar button and context menu on multiple select of entries merge entries needs to be enabled only if exactly two entries are selected also disable the following if multiple entries are selected tools open filetools open url or doi all things are complete 😄 please resolve conflicts all things 👍 if all thing is okay then it will be nice to take a look to mergea big thx 😄 besides minor comments lgtm the send as email action internally works with multiple entries but outlook cannot receive that long string as text thus it is ok for me to exclude this action all things are done 🎅 okay looks good now merge it in
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added new menu and action to copy bibtex key as url added a new sub menu item to the menu and the right click menu to quickly copy the bibtex key as a hyperlink to the entries url as described in in case of an empty url the bibtex key will be copied by its own rightclickmenuentry bibtex keys as hyperlink with their url source screen shot at bibtex keys as hyperlink with their url markdown formated screen shot at change in changelogmd described manually tested changed features in running jabref bartsch dev i think you recently reworked the localization script so maybe you can help me here when i add a new translation string to en property file is there anything else to do than to execute gradlew update because this gives me a syntax error in the python script traceback most recent call last file users tobias git jabref scripts synclangpy line in update extendedlen sysargv and sysargv extended file users tobias git jabref scripts synclangpy line in update update_properties main_property_fileget_main_menu_properties other_property_filesget_other_menu_properties file users tobias git jabref scripts synclangpy line in update_properties keys not_fixed fixed fix_duplicates lineslines file users tobias git jabref scripts synclangpy line in fix_duplicates fixedappend {key}{value}format keykey valuevalue unicodeencodeerror ascii codec cant encode characters in position ordinal not in range the linked pr fixes that i forgot to mark some strings as unicode strings i extracted the method to a new action class thanks 👍 can be merged from my point of view
1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,fix ignore version made a rookie mistake and ignored the already ignored version againreworked the preferences to the new design the only test that failed is the getbydoi test from the springer servicenot surprising since the springer service is currently down for mainte ce okay i merged it in
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,speed up search refers to at the request of koppor i speed up the search by using a second map of fields inside bibentry which stores the field latex freei also internalize these fields and set the necessary jvm arguments in install j i hope those are right todo identifiy all the uses of the latextounicodeformatter and replace it this pr breaks our architecture do we need a more sophisticated solution netsfjabrefarchitecturetests fistpackageisindependentofsecondpackage is netsfjabrefmodel independent of netsfjabreflogic failed javalangassertionerror expected but was koppor could have told you so the architecture issue was pretty obvious here let us talk this through before implementing a quick shot i have a number of solutions on my mind to this architecture stuff as well as for the restlet us also keep in mind that the vm args might not be quite be as portable or effective for non oracle jvms just use latextounicode instead of latextounicodeconverter indeed at the devcall we decided to implement basically everything ie cached latex free fields in bibentry string internalization additional command line args and some pre compilation of regular expressionill hijack this pr and create a new one shortly albeit not today i have moved over the ideas here into and build some more on top hence ill close this pr
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,ctrl s parsing error message ctrl s doesnt trigger parsing error messageproblem conflict of local shortcut of the entry editor with the global shortcutsolution local shortcut removed the action assigned to local and global shortcut is essentially the same save database change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate i have tested it and can confirm that it works removing the local shortcut is fine this was certainly the relic of some migration since it is not too much in size there is no need for a second review and ill merge right away grimes good job as always
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix codecov issue fix for ive added a gradle task that copys the resource to where they should be tobiasdiez one for you to approve so the problem is that the test resources are not copied on build and thus the tests dont found the test files the gradle job does work code coverage if i understand the solution correctly then a normal build in intellij or eclipse still dont copy the resource files and thus locally the importer tests are still not performed is this right i have no idea about our build script but is there no other way to always copy the resources the language files are automatically copied right tobiasdiez if you run the test locally in eclipse it executed all parameterized tests however only when executed via intellij or gradle it did not locate the correct directory thus no tests files were foundsee here for details okay i would say i merge it in
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,prevent the search to get focus when deleting pasting an entry fixes when you delete an entry the focus will no longer jump to the searchbar instead it will select the next entry also counts for pasting now it works for cutting entries tooi removed the code duplicate although im not sure about the the pattern not able to use runcommand actionsdelete to me code looks good
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,improvements to the javafx error console the log messages in the list view of the error console can now be selected and copied the error message will also automatically scroll to the newest log message refs ok rebase and merge
1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,urldownload now resolves redirects by default could you please also add a test for the arxiv entry which failed to download before the fix a test for the entry would be no different it must be done for the urldownloader but im not entirely sure how right now
1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,biblatex mode add month and year field to deprecated tab issue in biblatex the date field is recommended for backward compatibility the bibtex fields month and year are also accepted ive added both fields to the deprecated fields tab although the year field is present in the required fields tab too change in changelogmd described manually tested changed features in running jabref helpjabreforg if you changed the localization did you run gradle ate koppor has an opinion here in my experience in a typical setting one does not know the correct date but only the year together with an experienced librarian georgd i maintain a high quality example bib file at there we use year and urldate but never date i currently dont see where the month file is currently shownso i would vote for keeping as is and not merge the problem is that an existing month field is not shown at all the month field should be shown in deprecated or in other fields tab i prefer the deprecated tab because the month field is mentioned in the biblatex manual i think it is better to remove the year field from deprecated fields because it is present in required field the year is imho not in the depricated fields is it could you provide a screenshotwe can add the month to the deprecated fields the biblatex manual states biblatex will also consider the fields year and month for backwards compatibility with traditional bibtex but this is not encouraged as explicit year and month are not parsed for date meta information markers or times and are used as iswhich is a polite way to say they are deprecated thus i support grimes here and think these two fields should be added to the deprecated tab koppor you can also put only the year in the date field if you dont know the month day of publication typically bibtex things from the web have year and not date this imhowont change in the future im also in favour for putting journal in therequired fields and not other fields reason main bib file biblatex butpaper bib file in bibtex no converter for biblatex to bibtex and notforcing everyone to use biblatex jabref
1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,change log level to debug fixes a side aspects mentioned in currently a search will throw errors if one types author as the search term is still incomplete those exceptions should not be visible to the normal user
